model,ablation,seed,station,in_domain,n_windows,MAE,RMSE,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAE_P,RMSE_P,MAE_WS,RMSE_WS
Transformer,full_normon,3,Dongsi,False,6895,4.843380451202393,9.047722816467283,2.771448135375977,3.607846736907959,13.003499984741213,17.260770797729492,2.8843586444854736,3.9341328144073486,0.7142166495323181,1.0084199905395508
Transformer,full_normon,3,Guanyuan,False,6895,4.833926677703857,9.009936332702637,2.7721569538116455,3.611645460128784,12.961973190307615,17.1787166595459,2.8888535499572754,3.943814992904663,0.7127236723899841,1.0049190521240234
Transformer,full_normon,3,Gucheng,False,6895,4.740601062774658,8.751506805419922,2.9404051303863525,3.811490774154663,12.289204597473145,16.57666778564453,2.8742589950561523,3.93855881690979,0.8585352897644043,1.2368541955947876
Transformer,full_normon,3,Huairou,False,6895,4.847972393035889,8.965624809265137,3.104331970214844,4.004185676574707,12.715248107910156,17.017841339111328,2.8443026542663574,3.8473904132843018,0.7280060648918152,1.0425491333007812
Transformer,full_normon,3,Nongzhanguan,False,6895,4.865165710449219,9.069117546081545,2.7883334159851074,3.62697172164917,13.080218315124512,17.305683135986328,2.877927780151367,3.91657042503357,0.7141856551170349,1.0071898698806765
Transformer,full_normon,3,Shunyi,False,6895,4.717752456665039,8.63157844543457,2.8333308696746826,3.646310567855835,12.342860221862791,16.3623046875,2.9208037853240967,3.972090482711792,0.7740180492401123,1.103854775428772
Transformer,full_normon,3,Tiantan,False,6895,4.870363235473633,9.00091552734375,2.9107022285461426,3.763837575912475,12.961094856262209,17.127561569213867,2.8958740234375,3.941997528076172,0.7137792706489563,1.0033836364746094
Transformer,full_normon,3,Wanliu,False,6895,4.83687162399292,8.866358757019043,3.086327314376831,3.98956298828125,12.747535705566406,16.801057815551758,2.8799571990966797,3.935105323791504,0.6336667537689209,0.8786060214042664
Transformer,full_normon,3,Wanshouxigong,False,6895,4.868024826049805,9.050287246704102,2.8324990272521973,3.673208475112915,13.036094665527344,17.251296997070312,2.8901588916778564,3.939419746398926,0.7133496403694153,1.006003975868225
Transformer,full_normon,4,Aotizhongxin,True,6895,4.854167938232422,8.785992622375488,3.339906930923462,4.2176594734191895,12.573030471801758,16.588180541992188,2.792882919311523,3.847369432449341,0.7108522057533264,1.008006572723389
Transformer,full_normon,4,Changping,False,6895,4.6825408935546875,8.332599639892578,3.5578432083129883,4.493375778198242,11.609065055847168,15.535472869873049,2.840946674346924,3.8822193145751953,0.7223060131072998,1.0563278198242188
Transformer,full_normon,4,Dingling,False,6895,4.8129472732543945,8.475679397583008,3.8141837120056152,4.730295181274414,11.837430953979492,15.767218589782717,2.868255853652954,3.9012644290924072,0.7319149971008301,1.0713751316070557
Transformer,full_normon,4,Dongsi,False,6895,4.795299053192139,8.736170768737793,3.177773714065552,4.050868034362793,12.51194190979004,16.529369354248047,2.7845664024353027,3.8256638050079346,0.7069109678268433,1.0087171792984009
Transformer,full_normon,4,Guanyuan,False,6895,4.822429656982422,8.743432998657227,3.2446794509887695,4.115165710449219,12.54443645477295,16.523698806762695,2.7930092811584473,3.848442554473877,0.7075899243354797,1.0063475370407104
Transformer,full_normon,4,Gucheng,False,6895,4.790594577789307,8.584653854370117,3.5608468055725098,4.411032676696777,11.996002197265623,16.103641510009766,2.769340991973877,3.809069156646729,0.8361871242523193,1.2212940454483032
Transformer,full_normon,4,Huairou,False,6895,4.987235069274902,8.911447525024414,3.8843977451324463,4.7982072830200195,12.515254974365234,16.690385818481445,2.826875925064087,3.8681750297546382,0.7224111557006836,1.0493199825286863
Transformer,full_normon,4,Nongzhanguan,False,6895,4.796813011169434,8.724906921386719,3.200629949569702,4.073851585388184,12.500648498535156,16.503746032714844,2.7814152240753174,3.809679508209229,0.704556941986084,1.0061569213867188
Transformer,full_normon,4,Shunyi,False,6895,4.699146747589111,8.436114311218262,3.2797229290008545,4.125617980957031,11.93566608428955,15.854920387268066,2.827514410018921,3.8839147090911865,0.7536845803260803,1.089991331100464
Transformer,full_normon,4,Tiantan,False,6895,4.916445732116699,8.814085006713867,3.4572999477386475,4.326625347137451,12.662294387817385,16.611055374145508,2.838514566421509,3.884784698486328,0.7076730728149414,1.0069500207901
Transformer,full_normon,4,Wanliu,False,6895,4.855067253112793,8.603117942810059,3.685022354125977,4.5816850662231445,12.291550636291504,16.102914810180664,2.818833112716675,3.872529983520508,0.6248598098754883,0.8731595277786255
Transformer,full_normon,4,Wanshouxigong,False,6895,4.856598854064941,8.759035110473633,3.3618404865264893,4.242489337921143,12.558764457702637,16.5236759185791,2.798863410949707,3.852274656295776,0.7069292068481445,1.006070852279663
XAI-MeteoFormer,no_revin,0,Aotizhongxin,True,6895,4.188625335693359,8.260855674743652,2.0600500106811523,2.6960785388946533,11.746868133544922,15.960321426391602,2.281191825866699,3.175981044769287,0.6663928627967834,0.937786102294922
XAI-MeteoFormer,no_revin,0,Changping,False,6895,4.030998706817627,7.891347885131836,2.0728561878204346,2.7289087772369385,11.005695343017578,15.16223430633545,2.3581080436706543,3.279787302017212,0.6873400211334229,0.9980913400650024
XAI-MeteoFormer,no_revin,0,Dingling,False,6895,4.037553310394287,7.914793968200684,2.1019980907440186,2.773200035095215,11.020791053771973,15.207345008850098,2.339599847793579,3.259425163269043,0.6878210306167603,0.999007523059845
XAI-MeteoFormer,no_revin,0,Dongsi,False,6895,4.20543098449707,8.296380996704102,2.066981315612793,2.6945879459381104,11.803367614746094,16.03380584716797,2.284389019012451,3.1773386001586914,0.6669893264770508,0.9383400678634644
XAI-MeteoFormer,no_revin,0,Guanyuan,False,6895,4.202847957611084,8.29025650024414,2.0680906772613525,2.700101613998413,11.788251876831056,16.019304275512695,2.2882745265960693,3.181981325149536,0.6667695641517639,0.9379093647003174
XAI-MeteoFormer,no_revin,0,Gucheng,False,6895,4.123579502105713,8.08657455444336,2.100921154022217,2.758446216583252,11.233792304992676,15.54924774169922,2.375507354736328,3.2865169048309326,0.7840986251831055,1.1753394603729248
XAI-MeteoFormer,no_revin,0,Huairou,False,6895,4.095342636108398,8.136934280395508,2.1214022636413574,2.7662265300750732,11.260381698608398,15.675579071044922,2.318251848220825,3.234457492828369,0.6813344955444336,1.0006599426269531
XAI-MeteoFormer,no_revin,0,Nongzhanguan,False,6895,4.202941417694092,8.279265403747559,2.066924810409546,2.6966958045959473,11.788274765014648,15.996965408325195,2.2891910076141357,3.1826412677764893,0.6673757433891296,0.938447654247284
XAI-MeteoFormer,no_revin,0,Shunyi,False,6895,4.034093856811523,7.936552047729492,1.978002429008484,2.5976548194885254,11.158878326416016,15.295947074890137,2.2908191680908203,3.192397117614746,0.7086731791496277,1.024801254272461
XAI-MeteoFormer,no_revin,0,Tiantan,False,6895,4.205340385437012,8.30489730834961,2.058011531829834,2.686208486557007,11.814149856567385,16.053180694580078,2.281965494155884,3.1754207611083984,0.6672332286834717,0.9389401078224182
