dataset,loss,channel,baseline,mean_diff,DM,p_raw,lag,p_holm
beijing_aotizhongxin,abs,agg,Informer,-0.781456209700548,-20.02631741737861,0.0,10,0.0
beijing_aotizhongxin,abs,T,Informer,-1.73070583709709,-27.354684848614532,0.0,10,0.0
beijing_aotizhongxin,abs,RH,Informer,-0.7500687333596395,-5.489580504970209,4.172357459530929e-08,10,2.92065022167165e-07
beijing_aotizhongxin,abs,P,Informer,-0.6174410253888546,-15.237436271204809,0.0,10,0.0
beijing_aotizhongxin,abs,WS,Informer,-0.027609242956607213,-5.329740357719279,1.0147117079917223e-07,10,4.058846831966889e-07
beijing_aotizhongxin,abs,agg,LSTM,-0.1921894668511799,-5.125097820940071,3.054700326021731e-07,10,1.2218801304086924e-06
beijing_aotizhongxin,abs,T,LSTM,-0.5573357161449785,-12.708593784184469,0.0,10,0.0
beijing_aotizhongxin,abs,RH,LSTM,0.141377588951677,1.103689692505833,0.26976629074356273,10,0.8092988722306882
beijing_aotizhongxin,abs,P,LSTM,-0.3275368197493891,-8.895017057631303,0.0,10,0.0
beijing_aotizhongxin,abs,WS,LSTM,-0.025262920462029093,-4.836395270050707,1.3508322542765683e-06,10,2.7016645085531366e-06
beijing_aotizhongxin,abs,agg,PatchTST,-0.21978106554431362,-5.2359242174189635,1.6901519184209235e-07,10,8.450759592104617e-07
beijing_aotizhongxin,abs,T,PatchTST,-0.16304321309391312,-5.510600107097736,3.705396633968405e-08,10,1.1116189901905216e-07
beijing_aotizhongxin,abs,RH,PatchTST,-0.3850499987377473,-2.6223894228850155,0.008750762290681502,10,0.04375381145340751
beijing_aotizhongxin,abs,P,PatchTST,-0.29672963253737705,-7.345193078963893,2.291500322826323e-13,10,4.583000645652646e-13
beijing_aotizhongxin,abs,WS,PatchTST,-0.03430141780821705,-6.126474922643027,9.479337315099201e-10,10,5.687602389059521e-09
beijing_aotizhongxin,abs,agg,TFT,-0.5252636168769115,-14.013730648990173,0.0,10,0.0
beijing_aotizhongxin,abs,T,TFT,-0.944952262649441,-18.549689516925973,0.0,10,0.0
beijing_aotizhongxin,abs,RH,TFT,-0.4085560091469118,-3.4192688165996192,0.0006315347428169638,10,0.0037892084569017825
beijing_aotizhongxin,abs,P,TFT,-0.7118534307039559,-14.303218251866321,0.0,10,0.0
beijing_aotizhongxin,abs,WS,TFT,-0.03569276500733716,-6.701146430553847,2.2312374170496696e-11,10,1.5618661919347687e-10
beijing_aotizhongxin,abs,agg,TimesNet,-0.27540914152752033,-6.984179909136682,3.1330493754921918e-12,10,1.879829625295315e-11
beijing_aotizhongxin,abs,T,TimesNet,-0.6949005079544146,-16.447242961607458,0.0,10,0.0
beijing_aotizhongxin,abs,RH,TimesNet,-0.018770419513369493,-0.13792714558754973,0.8903020245006867,10,0.8903020245006867
beijing_aotizhongxin,abs,P,TimesNet,-0.37073872050542833,-8.892760625214544,0.0,10,0.0
beijing_aotizhongxin,abs,WS,TimesNet,-0.01722691813686893,-3.5051038171597573,0.00045933031550116077,10,0.00045933031550116077
beijing_aotizhongxin,abs,agg,Transformer,-0.8233330566783426,-18.923307929480305,0.0,10,0.0
beijing_aotizhongxin,abs,T,Transformer,-1.4754757485394867,-24.425104233311206,0.0,10,0.0
beijing_aotizhongxin,abs,RH,Transformer,-0.9871475817565327,-6.544118178353242,6.41420250246938e-11,10,5.772782252222441e-10
beijing_aotizhongxin,abs,P,Transformer,-0.8061161803830381,-14.482216177188786,0.0,10,0.0
beijing_aotizhongxin,abs,WS,Transformer,-0.02459271603431179,-5.0041342134647175,5.750370779544767e-07,10,1.72511123386343e-06
beijing_aotizhongxin,abs,agg,iTransformer,-0.10047952800350714,-2.405923279762662,0.016157811873501293,10,0.016157811873501293
beijing_aotizhongxin,abs,T,iTransformer,-0.01670746170477805,-0.608198183374035,0.5430760752676207,10,1.0
beijing_aotizhongxin,abs,RH,iTransformer,0.1234528544723108,0.8405503584204925,0.400629029563758,10,0.8092988722306882
beijing_aotizhongxin,abs,P,iTransformer,-0.45957780335933246,-9.342200038979223,0.0,10,0.0
beijing_aotizhongxin,abs,WS,iTransformer,-0.04908570142222871,-8.405059996908337,0.0,10,0.0
beijing_aotizhongxin,sq,agg,Autoformer,-23.72122464630124,-10.957907550617527,0.0,10,0.0
beijing_aotizhongxin,sq,T,Autoformer,-10.759099359209092,-20.323262626882467,0.0,10,0.0
beijing_aotizhongxin,sq,RH,Autoformer,-66.92399242204029,-8.219212191549504,2.220446049250313e-16,10,2.220446049250313e-15
beijing_aotizhongxin,sq,P,Autoformer,-17.040188865468586,-11.881603176264735,0.0,10,0.0
beijing_aotizhongxin,sq,WS,Autoformer,-0.16161793848699832,-8.210951422290513,2.220446049250313e-16,10,2.220446049250313e-15
beijing_aotizhongxin,sq,agg,Crossformer,3.4436505668428494,3.5657398199486137,0.00036529026214227045,10,0.002557031834995893
beijing_aotizhongxin,sq,T,Crossformer,-7.853276298172658,-20.5249457163141,0.0,10,0.0
beijing_aotizhongxin,sq,RH,Crossformer,21.681626580470905,5.65482367072046,1.6225152776883078e-08,10,1.460263749919477e-07
beijing_aotizhongxin,sq,P,Crossformer,-0.06404187587705981,-0.31911290866166797,0.7496505635597077,10,0.7496505635597077
beijing_aotizhongxin,sq,WS,Crossformer,0.010293860950214088,1.3587892747778412,0.17425782641972765,10,0.17425782641972765
beijing_aotizhongxin,sq,agg,DLinear,-2.7306607820836164,-1.7044871769456866,0.08833516845980416,10,0.4416758422990208
beijing_aotizhongxin,sq,T,DLinear,-0.08424011008814251,-0.4604459498228384,0.6452106819022245,10,0.6452106819022245
beijing_aotizhongxin,sq,RH,DLinear,-5.454459401189873,-0.87998215156391,0.3788996519030128,10,1.0
beijing_aotizhongxin,sq,P,DLinear,-5.276877783285905,-8.240492615119583,2.220446049250313e-16,10,1.1102230246251565e-15
beijing_aotizhongxin,sq,WS,DLinear,-0.10706583377054876,-5.8236925024537145,6.015070885823093e-09,10,4.6541751785866836e-08
beijing_aotizhongxin,sq,agg,Informer,-12.88632285224565,-8.2727186311565,2.220446049250313e-16,10,1.9984014443252818e-15
beijing_aotizhongxin,sq,T,Informer,-15.515386529058478,-23.235105399105038,0.0,10,0.0
beijing_aotizhongxin,sq,RH,Informer,-31.404112882018495,-5.097112707701583,3.540526054557347e-07,10,2.8324208436458775e-06
beijing_aotizhongxin,sq,P,Informer,-4.557501511942308,-11.638154546300969,0.0,10,0.0
beijing_aotizhongxin,sq,WS,Informer,-0.06829048596331319,-5.041903488793718,4.726816094091646e-07,10,2.8360896564549876e-06
beijing_aotizhongxin,sq,agg,LSTM,1.8361906606204106,1.412869059594141,0.15773937169940822,10,0.6309574867976329
beijing_aotizhongxin,sq,T,LSTM,-4.334850562997054,-11.564269419590332,0.0,10,0.0
beijing_aotizhongxin,sq,RH,LSTM,14.680674123218639,2.878777616562196,0.0040044792582067945,10,0.024026875549240767
beijing_aotizhongxin,sq,P,LSTM,-2.9385636947771228,-7.843312139995546,5.10702591327572e-15,10,1.532107773982716e-14
beijing_aotizhongxin,sq,WS,LSTM,-0.06249722296281957,-4.685338333659237,2.8485957996871036e-06,10,1.1394383198748415e-05
beijing_aotizhongxin,sq,agg,PatchTST,-1.9936742273448385,-1.367170888193026,0.17161632260483461,10,0.6309574867976329
beijing_aotizhongxin,sq,T,PatchTST,-1.249643232969212,-6.0766024313330815,1.2929601833633342e-09,10,3.8788805500900025e-09
beijing_aotizhongxin,sq,RH,PatchTST,-3.85731529910266,-0.6740437905188906,0.5003060728503672,10,1.0
beijing_aotizhongxin,sq,P,PatchTST,-2.771993778792973,-6.800452879855638,1.1303624702918569e-11,10,2.2607249405837138e-11
beijing_aotizhongxin,sq,WS,PatchTST,-0.09574459851450805,-5.829289932877364,5.8177189732333545e-09,10,4.6541751785866836e-08
beijing_aotizhongxin,sq,agg,TFT,-3.6033220570063667,-3.0543312217655387,0.00226424043382889,10,0.013585442602973341
beijing_aotizhongxin,sq,T,TFT,-7.5558368897114105,-16.559604757344914,0.0,10,0.0
beijing_aotizhongxin,sq,RH,TFT,-0.16849338399251074,-0.03707456986068055,0.9704266218292055,10,1.0
beijing_aotizhongxin,sq,P,TFT,-6.626748581307243,-11.516477077522776,0.0,10,0.0
