model,dataset,ablation,seed,missing_rate,params,train_time_s,infer_time_s,best_val,epochs_run,seq_len,pred_len,d_model,n_layers,lr,lambda_ent,MAE,RMSE,MSE,SMAPE,R2,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAPE_RH,MAE_P,RMSE_P,MAPE_P,MAE_WS,RMSE_WS,MAE_h1,RMSE_h1,MAE_h6,RMSE_h6,MAE_h12,RMSE_h12,MAE_h24,RMSE_h24,CLS_ACC,CLS_P,CLS_R,CLS_F1,CLS_AUC,CLS_AP,CLS_POSRATE,loss,aug_block,norm_variant,width,bl_d_model,bl_d_ff
Crossformer,jena,full,1,0.0,1695908.0,1316.1,6.84,0.1503452464914384,16.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.1753969192504883,5.222137451171875,27.27071952819824,22.960670471191406,0.6721527576446533,2.8866920471191406,3.469095230102539,6.894423007965088,9.282137870788574,10.098363876342772,2.0933995246887207,3.0728189945220947,0.211407333612442,0.82707279920578,1.2032972574234009,1.5658762454986572,2.332905530929565,2.707363605499268,4.572718620300293,3.265486478805542,5.422072887420654,3.976890563964844,6.158802032470703,0.7858456763493433,0.251598700073383,0.9961399576640518,0.4017307901542479,0.979152019270714,0.7859257731730406,0.0721796807592752,huber,0.5,off,default,,
Crossformer,jena,full,3,0.0,1695908.0,1184.6,6.82,0.1502256496560412,14.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.0880141258239746,5.128098487854004,26.29739189147949,22.65336799621582,0.6808894872665405,2.501719236373902,3.1502370834350586,6.8722076416015625,9.164837837219238,9.996807098388672,2.143073081970215,3.1342904567718506,0.2164810448884964,0.8350563645362854,1.203144669532776,1.5025750398635864,2.344909191131592,2.6224253177642822,4.5154900550842285,3.2476115226745605,5.312931060791016,3.93386173248291,6.100239276885986,0.7475793308407631,0.2221801490621276,0.998505790063504,0.3634811513182745,0.978833190331612,0.7885136144445624,0.0721796807592752,huber,0.5,off,default,,
Crossformer,beijing_aotizhongxin,full,0,0.0,1694628.0,591.0,3.39,0.1694838936029017,14.0,96.0,24.0,256.0,2.0,0.0005,0.0,4.202260494232178,7.792415142059326,60.72173690795898,27.585039138793945,0.6657497882843018,3.17264175415039,4.069114685058594,10.728622436523438,14.68957805633545,26.25567626953125,2.243344306945801,3.1112940311431885,0.2211469858884811,0.6644308567047119,0.9302799105644226,2.014664649963379,3.445184230804444,3.5621488094329834,6.600856781005859,4.405853271484375,8.14553165435791,5.27194881439209,9.347681045532228,0.7589013778100072,0.4188001806869016,0.9996174179187536,0.590291541297405,0.978073858307068,0.8966656988357707,0.1737490935460478,huber,0.5,off,default,,
Crossformer,beijing_aotizhongxin,full,2,0.0,1694628.0,530.0,3.48,0.1737020741372746,14.0,96.0,24.0,256.0,2.0,0.0005,0.0,4.263844013214111,7.9319539070129395,62.9158935546875,27.87561798095703,0.6577111482620239,3.319535970687866,4.192434310913086,10.925671577453612,14.962376594543455,26.668813705444336,2.166612386703491,3.054994821548462,0.2134068608283996,0.6435555219650269,0.938819408416748,2.127477169036865,3.608712911605835,3.61489200592041,6.657929420471191,4.619025230407715,8.433256149291992,5.376773357391357,9.643182754516602,0.7497220207880106,0.409759434500057,1.0,0.581318236959159,0.9783624788307064,0.8962124828936987,0.1737490935460478,huber,0.5,off,default,,
Crossformer,beijing_aotizhongxin,full,4,0.0,1694628.0,596.7,3.14,0.1703126055012771,16.0,96.0,24.0,256.0,2.0,0.0005,0.0,4.236298084259033,8.041888236999512,64.67196655273438,27.594207763671875,0.6559798717498779,3.18709135055542,3.993379831314087,11.011188507080078,15.258315086364746,27.87256622314453,2.0967400074005127,3.006375551223755,0.2064998894929886,0.6501732468605042,0.9414349794387816,2.344926357269287,3.879793882369995,3.4754087924957275,6.647923946380615,4.543115615844727,8.481269836425781,5.366721630096436,9.783036231994627,0.7470389170896785,0.4071829150852546,1.0,0.578720663419347,0.9766734505027864,0.8886077605769485,0.1737490935460478,huber,0.5,off,default,,
XAI-MeteoFormer,jena,no_revin,1,0.0,1892475.0,777.8,6.5,0.1451701264826822,18.0,96.0,24.0,256.0,2.0,0.0005,0.01,3.048214912414551,5.303993225097656,28.132343292236328,21.979724884033203,0.6743581295013428,1.940911889076233,2.56321382522583,7.198791980743408,9.697107315063477,10.509617805480955,2.208994626998902,3.226595401763916,0.2231580466032028,0.8441622257232666,1.2306456565856934,1.2328784465789795,2.105583667755127,2.555110216140747,4.714890480041504,3.1555838584899902,5.445102691650391,3.895836353302002,6.276308059692383,0.9447829786214168,0.578053487730907,0.870211264682688,0.6946639497705548,0.9794014945155288,0.7979641186982851,0.0721796807592752,huber,0.5,off,default,,
XAI-MeteoFormer,jena,no_revin,3,0.0,1892475.0,770.9,6.5,0.1459716438888275,18.0,96.0,24.0,256.0,2.0,0.0005,0.01,3.0320968627929688,5.307640075683594,28.17104148864746,21.774778366088867,0.6794498562812805,1.8971956968307493,2.4883244037628174,7.197245597839356,9.746366500854492,10.318355560302734,2.1835734844207764,3.1643826961517334,0.2206147909164428,0.8503705263137817,1.2195907831192017,1.3901958465576172,2.3237075805664062,2.5317187309265137,4.607387542724609,3.185874938964844,5.557151317596436,3.834744930267334,6.190877437591553,0.9452623190489886,0.5827364711232378,0.8509940646660856,0.6917691516102367,0.977274388361159,0.7831557127335453,0.0721796807592752,huber,0.5,off,default,,
TFT,beijing_aotizhongxin,full,0,0.0,3540960.0,452.4,6.21,0.1875601474966734,9.0,96.0,24.0,256.0,2.0,0.0005,0.0,4.51711893081665,8.202163696289062,67.2754898071289,28.29469490051269,0.632451593875885,2.971061944961548,3.8009870052337646,11.763896942138672,15.50546169281006,26.96459197998047,2.6313607692718506,3.645146608352661,0.2593488097190857,0.7021576762199402,0.9736490845680236,3.065990209579468,5.270938873291016,3.893008947372437,7.057760715484619,4.583573818206787,8.352948188781738,5.477891445159912,9.634544372558594,0.7263173797437756,0.3883253872854229,1.0,0.5594155244034127,0.969949022908063,0.8555413056134206,0.1737490935460478,huber,0.5,off,default,,
TFT,beijing_aotizhongxin,full,1,0.0,3540960.0,508.0,6.34,0.1925362567476442,10.0,96.0,24.0,256.0,2.0,0.0005,0.0,4.602784633636475,8.522170066833496,72.62738037109375,27.85480690002441,0.6203628778457642,2.855445623397827,3.6611273288726807,11.919836044311523,16.123424530029297,29.78456115722656,2.948193073272705,4.024607181549072,0.2902834117412567,0.6876641511917114,0.9712806940078736,3.112797975540161,5.380359649658203,3.939221143722534,7.22097110748291,4.725795269012451,8.698357582092285,5.516821384429932,10.031120300292969,0.7291817742325356,0.3908274090285046,1.0,0.5620070563629433,0.9696452904725978,0.8549723394019452,0.1737490935460478,huber,0.5,off,default,,
TFT,beijing_aotizhongxin,full,3,0.0,3540960.0,461.2,6.35,0.1989065813726121,9.0,96.0,24.0,256.0,2.0,0.0005,0.0,4.75946855545044,8.46069622039795,71.5833740234375,28.3881778717041,0.60353684425354,2.952807664871216,3.839066505432129,11.922629356384276,15.784870147705078,29.55838203430176,3.463320732116699,4.631658554077148,0.3409173190593719,0.6991163492202759,0.9903331398963928,3.477025032043457,5.893584728240967,4.186670303344727,7.3373589515686035,4.903655052185059,8.687261581420898,5.58272123336792,9.753325462341309,0.7267645636934977,0.3887138859221004,1.0,0.5598185340589374,0.96318785173046,0.8240187932765394,0.1737490935460478,huber,0.5,off,default,,
