model,dataset,ablation,seed,missing_rate,n_windows,test_stride,MAE,RMSE,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAE_P,RMSE_P,MAE_WS,RMSE_WS
iTransformer,beijing_aotizhongxin,full,0,0.2,3448,2,4.287705421447754,8.284368515014648,2.0555648803710938,2.699171781539917,11.6195707321167,15.862529754638672,2.756025791168213,3.820916414260864,0.7196581363677979,1.0090781450271606
iTransformer,beijing_aotizhongxin,full,1,0.0,3448,2,4.236619472503662,8.221831321716309,2.035870313644409,2.683919668197632,11.47072696685791,15.732414245605469,2.7290048599243164,3.830446481704712,0.7108731865882874,1.0047141313552856
iTransformer,beijing_aotizhongxin,full,1,0.05,3448,2,4.24220085144043,8.232069969177246,2.0370583534240723,2.6849112510681152,11.487637519836426,15.75283908843994,2.732258558273315,3.833360433578491,0.711845874786377,1.006248950958252
iTransformer,beijing_aotizhongxin,full,1,0.1,3448,2,4.251891136169434,8.252131462097168,2.039512872695923,2.6872756481170654,11.518041610717772,15.79334545135498,2.736815929412842,3.8371798992156982,0.7131942510604858,1.0077224969863892
iTransformer,beijing_aotizhongxin,full,1,0.2,3448,2,4.273105621337891,8.293193817138672,2.0463778972625732,2.6929361820220947,11.583271026611328,15.875908851623535,2.7461698055267334,3.8456451892852783,0.7166039347648621,1.011369705200195
iTransformer,beijing_aotizhongxin,full,2,0.0,3448,2,4.244722366333008,8.291231155395508,2.0427420139312744,2.678234815597534,11.573042869567873,15.900506019592283,2.648926258087158,3.7374324798583984,0.714179277420044,1.005324125289917
iTransformer,beijing_aotizhongxin,full,2,0.05,3448,2,4.251767158508301,8.302149772644043,2.045581340789795,2.681075096130371,11.591955184936523,15.921525955200195,2.6530866622924805,3.7420945167541504,0.7164438962936401,1.0081665515899658
iTransformer,beijing_aotizhongxin,full,2,0.1,3448,2,4.257543087005615,8.306609153747559,2.0491411685943604,2.68442440032959,11.606797218322754,15.928993225097656,2.657158374786377,3.7473554611206055,0.7170771956443787,1.008674383163452
iTransformer,beijing_aotizhongxin,full,2,0.2,3448,2,4.2730021476745605,8.324429512023926,2.056755542755127,2.6900572776794434,11.649662971496582,15.962820053100586,2.66664981842041,3.7570436000823975,0.7189387679100037,1.0104727745056152
iTransformer,beijing_aotizhongxin,full,3,0.0,3448,2,4.236316204071045,8.275629043579102,1.978083610534668,2.6021623611450195,11.532918930053713,15.868145942687988,2.717501640319824,3.789596319198608,0.7167618870735168,1.006860852241516
iTransformer,beijing_aotizhongxin,full,3,0.05,3448,2,4.241463661193848,8.281001091003418,1.9812908172607424,2.605846405029297,11.547182083129885,15.878003120422363,2.7202908992767334,3.792603492736816,0.7170897126197815,1.0072898864746094
iTransformer,beijing_aotizhongxin,full,3,0.1,3448,2,4.247614860534668,8.2893648147583,1.983601450920105,2.6080265045166016,11.564865112304688,15.893900871276855,2.7245125770568848,3.797391176223755,0.7174788117408752,1.0080668926239014
iTransformer,beijing_aotizhongxin,full,3,0.2,3448,2,4.265501976013184,8.312646865844727,1.9911274909973145,2.615095615386963,11.616826057434082,15.938817024230955,2.734652280807495,3.8071751594543457,0.7194021344184875,1.010538935661316
iTransformer,beijing_aotizhongxin,full,4,0.0,3448,2,4.276626110076904,8.292162895202637,2.0747628211975098,2.727018117904663,11.60125732421875,15.883606910705566,2.7096564769744873,3.7817037105560303,0.7208291292190552,1.006488800048828
iTransformer,beijing_aotizhongxin,full,4,0.05,3448,2,4.281984806060791,8.299148559570312,2.07464861869812,2.726206541061402,11.618261337280272,15.897496223449709,2.7132089138031006,3.785087108612061,0.7218198776245117,1.0069562196731567
iTransformer,beijing_aotizhongxin,full,4,0.1,3448,2,4.288391590118408,8.308087348937988,2.077692985534668,2.7290899753570557,11.635028839111328,15.914423942565918,2.717874765396118,3.789987087249756,0.7229725122451782,1.008206129074097
iTransformer,beijing_aotizhongxin,full,4,0.2,3448,2,4.305354595184326,8.33016586303711,2.082474708557129,2.7330052852630615,11.684771537780762,15.957368850708008,2.7272818088531494,3.798933744430542,0.72688889503479,1.0137934684753418
Autoformer,jena,full_normon,0,0.0,2782,5,3.888248443603515,6.169887065887451,2.6736795902252197,3.437585830688477,8.224198341369629,10.681822776794434,3.6942193508148193,4.957579135894775,0.9608992338180542,1.3319528102874756
Autoformer,jena,full_normon,0,0.05,2782,5,3.888839483261109,6.173061847686768,2.667587995529175,3.433138608932495,8.233370780944824,10.691761016845703,3.693647861480713,4.954925060272217,0.960752248764038,1.3323973417282104
Autoformer,jena,full_normon,0,0.1,2782,5,3.8866991996765137,6.171972751617432,2.6634981632232666,3.430137872695923,8.237548828125,10.69361686706543,3.686129331588745,4.947673320770264,0.959620237350464,1.3320077657699585
Autoformer,jena,full_normon,0,0.2,2782,5,3.897071599960327,6.182600498199463,2.6589674949645996,3.422358274459839,8.256940841674805,10.708008766174316,3.710851669311523,4.974181652069092,0.9615253210067748,1.3348087072372437
Autoformer,jena,full_normon,1,0.0,2782,5,3.840195655822754,6.105037689208984,2.754347324371338,3.5227842330932617,8.173406600952148,10.593131065368652,3.4939560890197754,4.760499000549316,0.939072847366333,1.3413299322128296
Autoformer,jena,full_normon,1,0.05,2782,5,3.839214563369751,6.10331916809082,2.7519102096557617,3.519850730895996,8.17341136932373,10.589508056640623,3.4924135208129883,4.761837959289551,0.9391236901283264,1.3416045904159546
Autoformer,jena,full_normon,1,0.1,2782,5,3.841423749923706,6.10675573348999,2.7507784366607666,3.518824815750122,8.183788299560547,10.599639892578123,3.4917633533477783,4.757627487182617,0.9393654465675354,1.3417798280715942
Autoformer,jena,full_normon,1,0.2,2782,5,3.84753942489624,6.1143798828125,2.7501332759857178,3.5175275802612305,8.208823204040527,10.616395950317385,3.492410898208618,4.7606916427612305,0.9387922286987304,1.340721845626831
Autoformer,jena,full_normon,2,0.0,2782,5,3.968435049057007,6.272205829620361,2.7368834018707275,3.481083631515503,8.4827241897583,10.864994049072266,3.7134108543396,5.037734031677246,0.940723478794098,1.3481240272521973
Autoformer,jena,full_normon,2,0.05,2782,5,3.969839572906494,6.273282527923584,2.736640214920044,3.479802131652832,8.482317924499512,10.861464500427246,3.71915602684021,5.0512776374816895,0.941243290901184,1.34924054145813
Autoformer,jena,full_normon,2,0.1,2782,5,3.9676973819732666,6.271242141723633,2.730750560760498,3.4731225967407227,8.48221206665039,10.856053352355955,3.7164642810821538,5.057190895080566,0.9413610696792604,1.349892258644104
Autoformer,jena,full_normon,2,0.2,2782,5,3.970927238464355,6.274465084075928,2.7306969165802,3.4721086025238037,8.489432334899902,10.857831001281738,3.721641540527344,5.0698113441467285,0.9419392347335817,1.3507843017578125
Autoformer,jena,full_normon,3,0.0,2782,5,3.902872323989868,6.261738300323486,2.635162115097046,3.3682730197906494,8.499651908874512,10.910721778869627,3.526312828063965,4.963162422180176,0.9503604173660278,1.347347617149353
Autoformer,jena,full_normon,3,0.05,2782,5,3.908900022506714,6.275198459625244,2.633941650390625,3.3641388416290283,8.51375675201416,10.932247161865234,3.5373589992523193,4.986315727233887,0.9505409598350524,1.3481991291046145
Autoformer,jena,full_normon,3,0.1,2782,5,3.9127776622772217,6.279918193817139,2.635253667831421,3.3658907413482666,8.523177146911621,10.93686580657959,3.542797088623047,4.998856544494629,0.9498840570449828,1.3478378057479858
Autoformer,jena,full_normon,3,0.2,2782,5,3.9240801334381104,6.292595863342285,2.645285129547119,3.380106210708618,8.541398048400879,10.955120086669922,3.5594072341918945,5.012853622436523,0.9502304792404176,1.3485596179962158
Autoformer,jena,full_normon,4,0.0,2782,5,3.9173874855041504,6.216757774353027,2.847728729248047,3.601384401321411,8.420480728149414,10.858360290527344,3.443044900894165,4.678030014038086,0.958296835422516,1.354392170906067
Autoformer,jena,full_normon,4,0.05,2782,5,3.921649694442749,6.220456123352051,2.847022771835327,3.598019599914551,8.433526039123535,10.865363121032717,3.4460349082946777,4.68302583694458,0.960015833377838,1.3578355312347412
Autoformer,jena,full_normon,4,0.1,2782,5,3.9267303943634033,6.224910259246826,2.842021942138672,3.592007875442505,8.435458183288574,10.864314079284668,3.467869281768799,4.713069915771484,0.9615716934204102,1.3598378896713257
Autoformer,jena,full_normon,4,0.2,2782,5,3.9345414638519287,6.237656593322754,2.8415720462799072,3.5944414138793945,8.455587387084961,10.880633354187012,3.4781830310821533,4.740360736846924,0.962820827960968,1.3616905212402344
LSTM,jena,full_normoff,0,0.0,2782,5,3.365481376647949,5.497907638549805,2.7817442417144775,3.4463257789611816,7.4368720054626465,9.800561904907228,2.3902945518493652,3.3916683197021484,0.8530144095420837,1.2150602340698242
LSTM,jena,full_normoff,0,0.05,2782,5,3.3673994541168213,5.498748302459717,2.780885696411133,3.4444222450256348,7.439827919006348,9.801963806152344,2.3954763412475586,3.394813299179077,0.8534082174301147,1.2155870199203491
LSTM,jena,full_normoff,0,0.1,2782,5,3.3689496517181396,5.501404762268066,2.78059983253479,3.443803310394287,7.445621013641357,9.80803108215332,2.395646095275879,3.3949060440063477,0.8539336323738098,1.2162084579467771
LSTM,jena,full_normoff,0,0.2,2782,5,3.376847982406616,5.5100860595703125,2.7840378284454346,3.446502923965454,7.459857940673828,9.822257995605469,2.408419609069824,3.40688419342041,0.8550767302513123,1.217455506324768
LSTM,jena,full_normoff,1,0.0,2782,5,3.3012278079986572,5.420376300811768,2.707650661468506,3.365077018737793,7.258573532104492,9.668437004089355,2.386237859725952,3.353637218475342,0.8524489998817444,1.213520050048828
LSTM,jena,full_normoff,1,0.05,2782,5,3.3013086318969727,5.419014930725098,2.707388162612915,3.363893747329712,7.258182525634766,9.665526390075684,2.387001037597656,3.3543856143951416,0.8526642322540283,1.2136011123657229
LSTM,jena,full_normoff,1,0.1,2782,5,3.302072525024414,5.419915676116943,2.705409049987793,3.3613967895507812,7.259041786193848,9.666603088378906,2.3908402919769287,3.359511375427246,0.8529987335205078,1.2138521671295166
LSTM,jena,full_normoff,1,0.2,2782,5,3.3074252605438232,5.424626350402832,2.7065610885620117,3.3610165119171143,7.268752098083496,9.672995567321776,2.4001948833465576,3.3715174198150635,0.8541921973228455,1.214852809906006
LSTM,jena,full_normoff,2,0.0,2782,5,3.3139584064483643,5.359355926513672,2.8473265171051025,3.4842422008514404,7.197139739990234,9.496661186218262,2.358297109603882,3.331435441970825,0.8530712127685547,1.2107053995132446
LSTM,jena,full_normoff,2,0.05,2782,5,3.315462350845337,5.360898017883301,2.8468754291534424,3.483840227127075,7.200132369995117,9.498686790466309,2.3616294860839844,3.335973739624023,0.85321444272995,1.2107763290405271
LSTM,jena,full_normoff,2,0.1,2782,5,3.3170011043548584,5.3617329597473145,2.8456926345825195,3.482663869857788,7.202401638031006,9.498696327209473,2.366694450378418,3.3426103591918945,0.853214681148529,1.2105756998062134
LSTM,jena,full_normoff,2,0.2,2782,5,3.324275493621826,5.372600555419922,2.848165512084961,3.485830545425415,7.220998287200928,9.5187349319458,2.373328685760498,3.351548910140991,0.8546087741851807,1.212084412574768
LSTM,jena,full_normoff,3,0.0,2782,5,3.352938652038574,5.418703079223633,2.7675724029541016,3.3796226978302,7.332714080810547,9.636567115783691,2.4429354667663574,3.4181201457977295,0.8685299754142761,1.2167840003967283
LSTM,jena,full_normoff,3,0.05,2782,5,3.3538084030151367,5.419490337371826,2.768084764480591,3.379948616027832,7.334343910217285,9.63769817352295,2.444023609161377,3.4195597171783447,0.8687791228294373,1.2168961763381958
LSTM,jena,full_normoff,3,0.1,2782,5,3.354624032974243,5.420284271240234,2.7669312953948975,3.3790833950042725,7.336893558502197,9.63949489593506,2.4456820487976074,3.4203052520751953,0.8689901232719421,1.217115044593811
