dataset,model,ablation,suffix,seed,base_mae,det_gain_occl,det_gain_occl_rel,det_gain_shap,det_gain_shap_rel,det_agree_shap_occl_rho,det_gain_attn,det_gain_attn_rel,det_agree_attn_shap_rho,det_agree_attn_occl_rho
beijing_aotizhongxin,TFT,full,,1,0.34031183,0.048278015024760465,0.14186405,0.042892678297856555,0.12603934,0.7010989010989012,,,,
beijing_aotizhongxin,TFT,full,,2,0.340923,0.04611503480368162,0.13526525,0.0375797760336926,0.11022951,0.8109890109890111,,,,
beijing_aotizhongxin,TFT,full,,3,0.35150856,0.04249565926247408,0.120895095,0.033351096183593776,0.0948799,0.7802197802197802,,,,
beijing_aotizhongxin,TFT,full,,4,0.3473804,0.03878685362404214,0.11165528,0.033778551814612014,0.09723793,0.745054945054945,,,,
beijing_aotizhongxin,TimesNet,full,,0,0.3184929,0.05602104714838788,0.17589419,0.04779866347787902,0.15007764,0.6747252747252748,,,,
beijing_aotizhongxin,TimesNet,full,,1,0.3247703,0.0555369237956724,0.1710037,0.04523175136718367,0.13927306,0.6043956043956044,,,,
beijing_aotizhongxin,TimesNet,full,,2,0.33606973,0.0574346019886434,0.17090085,0.02426779618486761,0.072210595,0.6967032967032967,,,,
beijing_aotizhongxin,TimesNet,full,,3,0.3133954,0.05669121560308018,0.18089357,0.033998979410555755,0.10848589,0.7186813186813187,,,,
beijing_aotizhongxin,TimesNet,full,,4,0.33992884,0.054684100980271724,0.16086927,0.02490891636382523,0.073276855,0.5824175824175825,,,,
beijing_aotizhongxin,Transformer,full,_normon,0,0.3515319,0.04669601167119773,0.13283578,0.02344523191950949,0.06669447,0.4593406593406593,,,,
beijing_aotizhongxin,Transformer,full,_normon,1,0.35520422,0.04526676424246813,0.12743871,0.013642133701858771,0.038406454,0.2087912087912088,,,,
beijing_aotizhongxin,Transformer,full,_normon,2,0.35221493,0.06129427336655291,0.1740252,0.008657421958965383,0.02457994,0.2043956043956044,,,,
beijing_aotizhongxin,Transformer,full,_normon,3,0.34203142,0.04456122744695416,0.13028401,0.011732334400128042,0.034301918,0.4241758241758242,,,,
beijing_aotizhongxin,Transformer,full,_normon,4,0.34467274,0.0485119616895515,0.14074789,0.01593364493023338,0.046228327,0.3098901098901099,,,,
beijing_aotizhongxin,XAI-MeteoFormer,no_revin,,0,0.3135899,0.052965935320327326,0.16890192,0.048016673979083345,0.15311933,0.8021978021978022,0.046458926834831285,0.14815185964107513,0.6087912087912088,0.5252747252747253
beijing_aotizhongxin,XAI-MeteoFormer,no_revin,,1,0.31676126,0.04273989290597714,0.13492778,0.03980518697428383,0.12566306,0.5736263736263736,0.004059726285215992,0.012816360220313072,0.1076923076923077,0.01098901098901099
beijing_aotizhongxin,XAI-MeteoFormer,no_revin,,2,0.30912,0.04566345449270946,0.1477208,0.040620126591197084,0.13140568,0.8549450549450549,0.023553201013377732,0.07619436085224152,0.12087912087912088,0.1164835164835165
beijing_aotizhongxin,XAI-MeteoFormer,no_revin,,3,0.30707684,0.04491870128782466,0.14627838,0.04044929039897397,0.13172367,0.7318681318681319,-0.029353242095094177,-0.09558924287557602,-0.22637362637362637,-0.4593406593406593
beijing_aotizhongxin,XAI-MeteoFormer,no_revin,,4,0.30847636,0.045249099116772405,0.1466858,0.032992211002856486,0.10695215,0.38461538461538464,0.02658730773255229,0.08618912845849991,0.7186813186813187,0.4945054945054946
beijing_aotizhongxin,XAI-MeteoFormer,no_revin+no_entropy,,0,0.30769664,0.04633146469847166,0.15057515,0.04425384524644219,0.14382297,0.8197802197802198,0.03586105966375076,0.11654680222272873,0.832967032967033,0.7538461538461538
beijing_aotizhongxin,XAI-MeteoFormer,no_revin+no_entropy,,1,0.30656326,0.038611676319435774,0.12595011,0.035194729882225925,0.114804134,0.8021978021978022,0.03353276649390215,0.10938285291194916,0.7758241758241758,0.8373626373626375
beijing_aotizhongxin,XAI-MeteoFormer,no_revin+no_entropy,,2,0.31889048,0.04604834042556053,0.14440174,0.04256178004733687,0.13346833,0.8153846153846154,0.03505328999898797,0.10992266237735748,0.8417582417582418,0.7802197802197802
beijing_aotizhongxin,XAI-MeteoFormer,no_revin+no_entropy,,3,0.30021638,0.04187743622044632,0.13949084,0.035343239784041136,0.117725894,0.7714285714285714,0.02337750767523953,0.07786886394023895,0.7890109890109891,0.7538461538461538
beijing_aotizhongxin,XAI-MeteoFormer,no_revin+no_entropy,,4,0.29741246,0.04488866251460941,0.15093067,0.0420009025049928,0.14122106,0.7582417582417583,0.03380524019278319,0.11366450786590576,0.8417582417582418,0.7318681318681319
beijing_aotizhongxin,XAI-MeteoFormer,full,,0,0.31305617,0.05256154461697275,0.16789812,0.03544785263881618,0.1132316,0.4813186813186813,0.01577167724192674,0.05037970468401909,0.37142857142857144,0.2087912087912088
beijing_aotizhongxin,XAI-MeteoFormer,full,,1,0.3085017,0.055291584610739464,0.1792262,0.05055460038761209,0.1638714,0.7978021978021977,0.04127736651504945,0.1337994933128357,0.7186813186813187,0.5340659340659341
beijing_aotizhongxin,XAI-MeteoFormer,full,,2,0.30679795,0.06032103763394324,0.19661486,0.045980171258228696,0.14987117,0.7142857142857143,0.027085217437374277,0.08828356117010117,0.5692307692307692,0.2043956043956044
beijing_aotizhongxin,XAI-MeteoFormer,full,,3,0.30503502,0.05429426916376021,0.17799357,0.03549066331669953,0.116349466,0.5912087912087912,0.04047695575714376,0.13269609212875366,0.2703296703296703,0.221978021978022
beijing_aotizhongxin,XAI-MeteoFormer,full,,4,0.3082251,0.05031784334519346,0.16325031,0.04237400754654248,0.13747747,0.6307692307692307,0.026798616622774198,0.08694495260715485,0.1956043956043956,0.3274725274725274
beijing_aotizhongxin,iTransformer,full,,0,0.31726778,0.05948589408304541,0.18749428,0.04472003768663853,0.14095362,0.5648351648351648,,,,
beijing_aotizhongxin,iTransformer,full,,1,0.31569344,0.060451472098606504,0.1914879,0.04560319072999326,0.14445403,0.5032967032967033,,,,
beijing_aotizhongxin,iTransformer,full,,2,0.31746477,0.05981755025851142,0.18842264,0.04485032510178697,0.14127654,0.5032967032967033,,,,
beijing_aotizhongxin,iTransformer,full,,3,0.31475112,0.06081678678314867,0.19322184,0.04568126845206799,0.14513457,0.45054945054945056,,,,
beijing_aotizhongxin,iTransformer,full,,4,0.31864744,0.05921913700776973,0.18584532,0.04363820087763348,0.13694821,0.5956043956043956,,,,
