model,dataset,ablation,seed,variant,block_len,n_windows,test_stride,MAE,RMSE,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAE_P,RMSE_P,MAE_WS,RMSE_WS
DLinear,jena,full,0,B_start,16,2782,5,3.495765686035156,5.866955280303955,2.1765918731689453,2.859173536300659,7.952049255371094,10.56009578704834,2.920186758041382,4.035399436950684,0.9342342019081116,1.307552456855774
DLinear,jena,full,1,none,16,2782,5,3.423389434814453,5.764315605163574,2.1110904216766357,2.782576322555542,7.720701217651367,10.349332809448242,2.93155288696289,4.044259071350098,0.9302167296409608,1.3045742511749268
DLinear,jena,full,1,A_end,16,2782,5,5.633812427520752,9.209894180297852,3.634353637695313,4.630314350128174,13.182960510253906,16.766830444335938,4.445473670959473,5.802874565124512,1.2724624872207642,1.7460823059082031
DLinear,jena,full,1,B_start,16,2782,5,3.4914767742156982,5.862191677093506,2.160292863845825,2.8345541954040527,7.938290119171143,10.553616523742676,2.933122158050537,4.041196823120117,0.9342023134231568,1.3101047277450562
DLinear,jena,full,2,none,16,2782,5,3.4326858520507812,5.769264221191406,2.1217198371887207,2.790621280670166,7.716082572937012,10.341304779052734,2.96530818939209,4.088813781738281,0.9276316165924072,1.2996504306793213
DLinear,jena,full,2,A_end,16,2782,5,5.589019298553467,9.120681762695312,3.6041464805603023,4.589816093444824,13.032090187072754,16.577226638793945,4.456421852111816,5.820065498352051,1.2634189128875732,1.733002543449402
DLinear,jena,full,2,B_start,16,2782,5,3.500803232192993,5.866469860076904,2.171703338623047,2.8416497707366943,7.931511878967285,10.54408359527588,2.968421697616577,4.087166786193848,0.9315767288208008,1.3054660558700562
DLinear,jena,full,3,none,16,2782,5,3.4366679191589355,5.773428440093994,2.1208465099334717,2.79122543334961,7.738409519195557,10.356378555297852,2.960538148880005,4.074024677276611,0.9268777966499328,1.2987236976623535
DLinear,jena,full,3,A_end,16,2782,5,5.6251654624938965,9.191282272338867,3.629734516143799,4.623794078826904,13.152711868286133,16.726362228393555,4.4489240646362305,5.808482646942139,1.269292950630188,1.7405602931976318
DLinear,jena,full,3,B_start,16,2782,5,3.501410961151123,5.864171981811523,2.1677141189575195,2.8389077186584473,7.944778919219971,10.545502662658691,2.963026762008667,4.072822093963623,0.930122435092926,1.3035095930099487
DLinear,jena,full,4,none,16,2782,5,3.4188501834869385,5.751934051513672,2.1199958324432373,2.8000333309173584,7.702386856079102,10.321853637695312,2.923762798309326,4.032851219177246,0.9292575716972352,1.3016374111175537
DLinear,jena,full,4,A_end,16,2782,5,5.608264923095703,9.166893005371094,3.6310391426086426,4.625500202178955,13.112160682678224,16.68537139892578,4.424336910247803,5.7725067138671875,1.2655248641967771,1.7346689701080322
DLinear,jena,full,4,B_start,16,2782,5,3.4763031005859375,5.830958366394043,2.1595942974090576,2.840780258178711,7.889298439025879,10.487287521362305,2.924520969390869,4.030200481414795,0.9317998290061952,1.3055740594863892
Informer,jena,full,0,none,16,2782,5,3.4088919162750244,5.631262302398682,2.733806848526001,3.434682846069336,7.447398662567139,10.031166076660156,2.6039249897003174,3.5981969833374023,0.850438117980957,1.2149524688720703
Informer,jena,full,0,A_end,16,2782,5,5.565383434295654,8.946537971496582,3.934133291244507,4.962483882904053,12.45418643951416,15.970327377319336,4.783818244934082,6.17994499206543,1.089400053024292,1.5142145156860352
Informer,jena,full,0,B_start,16,2782,5,3.520730972290039,5.735877513885498,2.7951273918151855,3.4961202144622803,7.693167686462402,10.20409870147705,2.7351276874542236,3.7069032192230225,0.8595011234283447,1.2302515506744385
Informer,jena,full,1,none,16,2782,5,3.430264472961426,5.552175521850586,2.9725284576416016,3.739592313766479,7.176700115203857,9.681597709655762,2.7273805141448975,3.752354860305786,0.8444491028785706,1.2282347679138184
Informer,jena,full,1,A_end,16,2782,5,5.634082317352295,9.060953140258787,4.166106224060059,5.277806758880615,12.424890518188477,16.063161849975586,4.858189582824707,6.3381571769714355,1.0871440172195437,1.5332545042037964
Informer,jena,full,1,B_start,16,2782,5,3.622172117233277,5.792059421539307,3.1258580684661865,3.901905059814453,7.664326190948486,10.124053955078123,2.8293771743774414,3.854584455490112,0.8691241145133972,1.269899606704712
Informer,jena,full,2,none,16,2782,5,3.465299367904663,5.668667793273926,2.8988442420959473,3.5668179988861084,7.592097759246826,10.104248046875,2.489990234375,3.495100736618042,0.8802659511566162,1.225317358970642
Informer,jena,full,2,A_end,16,2782,5,5.315201282501221,8.546603202819824,3.837170839309693,4.827569007873535,11.779590606689451,15.196932792663574,4.5269575119018555,5.961951732635498,1.1170886754989624,1.5429296493530271
Informer,jena,full,2,B_start,16,2782,5,3.6413216590881343,5.9243597984313965,3.0279345512390137,3.732914924621582,8.064179420471191,10.576231956481934,2.575468063354492,3.607452630996704,0.8977025747299194,1.2598057985305786
