dataset,model,seed,a_val_T,a_oracle_T,sd_ratio_T,MSE_T_before,MSE_T_after,a_val_RH,a_oracle_RH,sd_ratio_RH,MSE_RH_before,MSE_RH_after,a_val_P,a_oracle_P,sd_ratio_P,MSE_P_before,MSE_P_after,a_val_WS,a_oracle_WS,sd_ratio_WS,MSE_WS_before,MSE_WS_after,MAE_before,MAE_after,RMSE_before,RMSE_after
jena,TFT,0,0.8122065776795669,0.9083733242818615,1.03573458883523,11.023164280480815,9.320139179947963,0.9016594288036592,0.90154574754206,0.8935593862926131,95.7057361683756,93.15445280953281,0.8955422429554495,0.9398086163820597,0.9717941685009686,11.544359258716938,11.443156703943066,0.9236710611239777,0.8735607011539714,0.6293277849729391,1.5410533259538823,1.5288927299120172,3.3241347343748227,3.290188678464718,5.4729862285942055,5.372304938835283
jena,TFT,1,0.8280550121663691,0.9316397318154161,0.9950398897176371,10.836269352770788,10.295973683492134,0.9281126428176609,0.9639714895302179,0.824900240188995,98.48526441602114,98.9445546464237,0.9135681503478631,0.939794374537063,0.9667732257069488,13.715482697282308,13.403841937804454,0.8655187309237213,0.8289028702233587,0.6506988077788881,1.5929292454428738,1.5641771225999055,3.421859891497242,3.4220275047378843,5.581889145072596,5.572444423014018
jena,TFT,2,0.8284594929496716,0.9002686297458274,1.0472840695364005,10.970386500247242,8.953905858973807,0.9035693909192045,0.9290854806847553,0.862230283812564,97.523188466197,95.89646989855562,0.9248795153552103,0.9431066327602816,0.951918173330668,13.986861567367512,13.890559101942223,0.9103038465160008,0.8697072301130363,0.635252174682735,1.5417737293075242,1.527335535136985,3.43207580205734,3.399353101631333,5.568262975630715,5.483344563188796
jena,TFT,3,0.8136857983600745,0.9047225683230113,1.0393768749621317,8.635715655862098,8.178410273921926,0.9652283668529833,0.9670257206917637,0.8279766109458563,100.34457876090389,100.63988178061537,0.9040555171916613,0.9237836337198007,0.9902157579922002,11.544293027375689,11.205998333499567,0.9499737828733624,0.9185827468781962,0.5881382856620808,1.5769985810480565,1.5720275564482893,3.301513818907744,3.297232978239479,5.524979321798179,5.513536023834548
jena,TFT,4,0.8123514253585525,0.9087643476745236,1.0293590752715314,9.497647454322088,8.898295169229876,0.8957165998280137,0.9065300861590767,0.8791520305100774,99.12536138646246,98.09206497494189,0.9296236720604641,0.9518149349705155,0.9237093673430371,15.673773256015464,15.576633674905308,0.8728689099266767,0.8495749010105889,0.6427611681034241,1.5552657200171671,1.534386568435576,3.442143292781141,3.4445165365693726,5.609189955261301,5.57003995469316
jena,TimesNet,0,0.8305322860658,0.9115624604816545,1.033117197173361,9.148041566384292,8.153111341622663,0.9262846030633967,0.9442605692440961,0.8485647713528064,95.23859904891243,94.85885502724996,0.911252986412865,0.9374796281895681,0.9682012428042098,12.259316137237562,12.055328502938432,0.9308111341390636,0.8808626904472533,0.6205075967375634,1.5510948370493867,1.540595960721871,3.290167487250507,3.2728620067722787,5.435923371185057,5.39925668107502
jena,TimesNet,1,0.8395072610682748,0.9279570140179725,1.014911101710202,9.30928684727038,8.436591211126268,0.9156673402580823,0.9234635021628981,0.8652706008336886,96.6867114180121,95.6647874175431,0.9366998389988908,0.9536536224050491,0.9486181769958848,12.628232380624548,12.536081523780256,0.8817040195449448,0.8546641846239585,0.6379082328823255,1.5628576666426834,1.543325049356431,3.3213713153483044,3.312375769865287,5.481493599206099,5.435549309908937
jena,TimesNet,2,0.8180865540898251,0.9005847835895908,1.0461168224749002,9.319745797970409,8.106887340697241,0.9017703641128829,0.9065906650819066,0.8845281781766662,96.13640891602357,94.328848512479,0.9283375767041658,0.9603227251498802,0.9423385441349071,12.610525750285996,12.615894830396185,0.9086199990991827,0.8706344980072932,0.6259005410617536,1.5779954160786256,1.5634257965693346,3.2958686256391827,3.2797698751409614,5.469110436815996,5.399422572834564
jena,TimesNet,3,0.8098515059041091,0.8921944276596337,1.053243502067321,9.946433036987896,8.4709945100866,0.905876023144156,0.9214055102221029,0.8730938445684392,94.46188715733766,93.31865646407832,0.8893844301941322,0.9176723349931157,0.983591204801117,13.099647762992126,12.69194269083785,0.8515972878026801,0.8351064215426874,0.6534145075212457,1.5665537819500812,1.5390085460598142,3.3167350613132682,3.288122145685299,5.456063639183192,5.385643002721741
jena,TimesNet,4,0.824968397352865,0.9112906242605008,1.0317503633483416,10.023920075586647,8.744282581834241,0.9135562839184641,0.937822934257818,0.8533034847084788,95.8665370221782,95.45454024788084,0.9660584686222372,0.9769024461272883,0.9252166489356078,12.51876612349624,12.492167260333913,0.9409003902179671,0.9001055961123715,0.6058246656953108,1.603842685045423,1.5947953620203743,3.3275357113856585,3.3111571865864335,5.477523754086023,5.4379634389187785
