model,dataset,ckpt,attn_entropy,base_mae,n_channels_scored,exclude_time,fidelity_gain,fidelity_gain_rel,stab_rho_0.01,stab_cos_0.01,stab_top5_0.01,stab_rho_0.05,stab_cos_0.05,stab_top5_0.05,stab_rho_0.1,stab_cos_0.1,stab_top5_0.1,agree_attn_shap_rho,agree_attn_shap_cos,agree_attn_shap_top5,agree_attn_perm_rho,agree_attn_perm_top5,agree_shap_perm_rho,agree_shap_perm_top5,has_shap,fidelity_gain_perm,fidelity_gain_perm_rel,fidelity_gain_attn,fidelity_gain_attn_rel,fidelity_gain_shap,fidelity_gain_shap_rel,primary_ranking
XAI-MeteoFormer,beijing_aotizhongxin,XAI-MeteoFormer_beijing_aotizhongxin_full_s1.pt,2.63238525390625,0.30850167311728,18,False,0.1206175930798053,0.3909787323388402,0.9896800825593396,0.9979197978973388,0.8,0.8968008255933952,0.9618112444877625,0.8,0.8926728586171312,0.9505013227462769,0.8,0.6078431372549019,0.5715233087539673,0.6,0.0175438596491228,0.4,0.4489164086687306,0.8,,,,,,,,
XAI-MeteoFormer,beijing_aotizhongxin,XAI-MeteoFormer_beijing_aotizhongxin_full_s1.pt,2.63238525390625,0.30850167311728,14,True,0.1616750934720039,0.5240655320872167,0.9896800825593396,0.9979197978973388,0.8,0.8968008255933952,0.9618112444877625,0.8,0.8926728586171312,0.9505013227462769,0.8,0.7494505494505495,0.6960849165916443,0.8,0.1736263736263736,0.6,0.6483516483516484,0.8,,,,,,,,
XAI-MeteoFormer,beijing_aotizhongxin,XAI-MeteoFormer_beijing_aotizhongxin_full_s2.pt,2.5092692375183105,0.3067979209125042,18,False,0.139251007437706,0.4538851079027326,0.9422084623323012,0.9876044392585754,0.8,0.7296181630546955,0.8936287760734558,0.6,0.6945304437564499,0.8821462988853455,0.6,0.4179566563467492,0.450889378786087,0.4,-0.1867905056759546,0.2,0.3539731682146542,0.8,,,,,,,,
XAI-MeteoFormer,beijing_aotizhongxin,XAI-MeteoFormer_beijing_aotizhongxin_full_s2.pt,2.5092692375183105,0.3067979209125042,14,True,0.132129724919796,0.4306734691252296,0.9422084623323012,0.9876044392585754,0.8,0.7296181630546955,0.8936287760734558,0.6,0.6945304437564499,0.8821462988853455,0.6,0.5912087912087912,0.554122805595398,0.4,-0.1076923076923077,0.2,0.4637362637362636,0.8,,,,,,,,
LSTM,beijing_aotizhongxin,LSTM_beijing_aotizhongxin_full_s0.pt,,0.3203336860984563,14,True,0.0487856315821409,0.1522962888365926,,,,,,,,,,,,,,,0.8065934065934066,0.8,,,,,,,,
PatchTST,beijing_aotizhongxin,PatchTST_beijing_aotizhongxin_full_s0.pt,,0.3196565177291631,14,True,0.0986903811246156,0.308738835753174,,,,,,,,,,,,,,,,,False,,,,,,,
iTransformer,beijing_aotizhongxin,iTransformer_beijing_aotizhongxin_full_s0.pt,,0.3172678168863058,14,True,0.1213605777919292,0.3825177699489743,,,,,,,,,,,,,,,,,False,,,,,,,
LSTM,beijing_aotizhongxin,LSTM_beijing_aotizhongxin_full_s0.pt,,0.3203336860984563,14,True,0.0487856315821409,0.1522962888365926,,,,,,,,,,,,,,,0.8065934065934066,0.8,True,,,,,,,
Crossformer,beijing_aotizhongxin,Crossformer_beijing_aotizhongxin_full_s0.pt,,0.3081516996026039,14,True,0.1079362124949693,0.3502697295980038,,,,,,,,,,,,,,,0.8857142857142857,0.8,True,,,,,,,
TFT,beijing_aotizhongxin,TFT_beijing_aotizhongxin_full_s0.pt,,0.3264412935823202,14,True,0.0525049251317977,0.1608403292231084,,,,,,,,,,,,,,,,,False,,,,,,,
