model,dataset,ablation,seed,missing_rate,params,train_time_s,infer_time_s,best_val,epochs_run,seq_len,pred_len,d_model,n_layers,lr,lambda_ent,MAE,RMSE,MSE,SMAPE,R2,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAPE_RH,MAE_P,RMSE_P,MAPE_P,MAE_WS,RMSE_WS,MAE_h1,RMSE_h1,MAE_h6,RMSE_h6,MAE_h12,RMSE_h12,MAE_h24,RMSE_h24,CLS_ACC,CLS_P,CLS_R,CLS_F1,CLS_AUC,CLS_AP,CLS_POSRATE,norm_variant,width,bl_d_model,bl_d_ff
Autoformer,beijing_aotizhongxin,full,3,0.0,2674742.0,357.4,6.66,0.2232415074439115,9.0,96.0,24.0,256.0,2.0,0.0005,0.0,5.304162502288818,9.338180541992188,87.20162200927734,29.81842422485352,0.558956503868103,3.1205155849456787,4.002296447753906,13.530688285827637,17.48805046081543,32.67304992675781,3.850029468536377,5.093105316162109,0.3796399235725403,0.7154228091239929,1.0081952810287476,4.313584804534912,7.341527938842773,4.771303176879883,8.351888656616211,5.420767784118652,9.509485244750977,6.064069271087647,10.676835060119627,0.7229755861735557,0.3853451051953628,0.9988522537562604,0.5561386522075911,0.963172915464592,0.820759063923617,0.1737490935460478,on,default,,
Informer,jena,full,0,0.0,2867513.0,437.7,5.96,0.1717559050384357,12.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.4807753562927246,5.713756561279297,32.64701461791992,23.47345542907715,0.6275192499160767,2.6219193935394287,3.3418872356414795,7.684699535369873,10.15891933441162,10.98047161102295,2.726170301437378,3.828517436981201,0.2752516567707062,0.8903115391731262,1.2484722137451172,1.579930305480957,2.565403461456299,2.975719928741455,5.025267124176025,3.7029354572296143,6.026418209075928,4.343710899353027,6.699383735656738,0.7283967261048797,0.2095876306650611,0.9969700742954384,0.3463615455050144,0.969675333181838,0.7107060392439242,0.0721796807592752,on,default,,
Informer,jena,full,2,0.0,2867513.0,486.7,6.13,0.1712563677467854,12.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.521231412887573,5.73969030380249,32.94404602050781,23.692045211791992,0.6202671527862549,2.6478137969970703,3.394498348236084,7.891059398651123,10.248320579528809,11.703245162963867,2.6667845249176025,3.687329053878784,0.2694178223609924,0.8792647123336792,1.2763683795928955,2.006019830703736,3.268836975097656,3.0167229175567627,5.105923175811768,3.639254093170166,5.894442081451416,4.403923511505127,6.794009685516357,0.7227165420381555,0.2063078058239099,0.9980492259162412,0.3419340618712095,0.9691480324558644,0.712459627154573,0.0721796807592752,on,default,,
Informer,jena,full,4,0.0,2867513.0,434.3,6.22,0.1682604073550745,11.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.4808645248413086,5.71345329284668,32.64354705810547,23.458227157592773,0.6218907237052917,2.568171501159668,3.2504777908325195,7.786994457244873,10.20883846282959,11.41029930114746,2.689759016036988,3.7619800567626953,0.2717576622962951,0.8785353302955627,1.2789406776428225,1.9359418153762813,3.0964038372039795,2.996102094650269,5.01877498626709,3.593623399734497,5.823680400848389,4.304965972900391,6.7453932762146,0.7194300642316173,0.2043188097768331,0.99750965010584,0.3391665137808888,0.9723128857855282,0.7347896869749783,0.0721796807592752,on,default,,
XAI-MeteoFormer,beijing_aotizhongxin,no_multiscale,1,0.0,1755292.0,269.7,3.52,0.1670416578989237,21.0,96.0,24.0,256.0,2.0,0.0005,0.01,4.159735202789307,8.162677764892578,66.62930297851562,26.425317764282227,0.652566134929657,1.9252406358718872,2.566495180130005,11.78748607635498,15.76763153076172,25.78058242797852,2.24835467338562,3.22258734703064,0.221465528011322,0.677860677242279,0.962822675704956,1.7910263538360596,3.4690096378326416,3.4345452785491943,6.829949378967285,4.391218185424805,8.547869682312012,5.296499252319336,9.75599193572998,0.9027677060671984,0.7071391179165031,0.7517042292710072,0.7287409805111605,0.9525563226153207,0.7730696855202597,0.1737490935460478,off,default,,
XAI-MeteoFormer,beijing_aotizhongxin,no_multiscale,3,0.0,1755292.0,256.3,3.57,0.1678436815976252,20.0,96.0,24.0,256.0,2.0,0.0005,0.01,4.118943691253662,8.119468688964844,65.92577362060547,26.55559730529785,0.6546952724456787,1.947084784507752,2.554734468460083,11.554563522338867,15.673624038696287,25.98651885986328,2.29264760017395,3.254572868347168,0.2258830666542053,0.6814793348312378,0.9600889086723328,2.0056796073913574,3.916438817977905,3.3735997676849365,6.842268466949463,4.404919624328613,8.54702377319336,5.169492721557617,9.681451797485352,0.8840584964950448,0.6168980349985336,0.877886755703951,0.7246081414709766,0.9511352805444828,0.7716235966427458,0.1737490935460478,off,default,,
XAI-MeteoFormer,beijing_aotizhongxin,no_var_attn,0,0.0,1892255.0,304.7,3.46,0.1704396229157027,19.0,96.0,24.0,256.0,2.0,0.0005,0.01,4.158666133880615,8.208430290222168,67.37833404541016,26.91830062866211,0.646144449710846,1.982839107513428,2.559307813644409,11.683552742004396,15.85097885131836,27.279762268066406,2.279832363128662,3.280572891235352,0.2245264649391174,0.6884369254112244,0.9733925461769104,2.0152816772460938,3.8975775241851807,3.46762752532959,6.882122039794922,4.343771457672119,8.544243812561035,5.235528469085693,9.800385475158691,0.8893703166545807,0.6520245684510814,0.7790414579855315,0.7098962047381349,0.9458051926376816,0.7473952331498767,0.1737490935460478,off,default,,
XAI-MeteoFormer,beijing_aotizhongxin,no_var_attn,2,0.0,1892255.0,349.6,3.33,0.1725148983609898,22.0,96.0,24.0,256.0,2.0,0.0005,0.01,4.137797355651856,8.147625923156738,66.38380432128906,26.48740768432617,0.6496223211288452,1.895205020904541,2.4838500022888184,11.676414489746094,15.730528831481934,26.5838623046875,2.2922279834747314,3.3130128383636475,0.2257678359746933,0.68734210729599,0.9696124196052552,1.792221188545227,3.531175136566162,3.416353225708008,6.779807090759277,4.345963954925537,8.508631706237793,5.274245262145996,9.762469291687012,0.8908629441624365,0.664532808075834,0.7509738452977184,0.7051139703481157,0.9460768493992696,0.7474130074816614,0.1737490935460478,off,default,,
XAI-MeteoFormer,beijing_aotizhongxin,no_var_attn,4,0.0,1892255.0,304.9,3.48,0.1704482035648164,19.0,96.0,24.0,256.0,2.0,0.0005,0.01,4.14821195602417,8.028767585754395,64.46111297607422,26.58635330200196,0.6549123525619507,1.9691507816314693,2.564172744750977,11.556111335754396,15.4615478515625,26.643287658691406,2.383966445922852,3.359017133712769,0.234819695353508,0.6836162209510803,0.9628100395202636,2.0800423622131348,3.96881890296936,3.511547088623047,6.903735637664795,4.376375675201416,8.421518325805664,5.182422637939453,9.513945579528809,0.8719543147208122,0.5898752228163993,0.8632095158597662,0.7008344275488161,0.9424369767342816,0.7413005840674627,0.1737490935460478,off,default,,
XAI-MeteoFormer,beijing_aotizhongxin,no_temp_attn,1,0.0,1892255.0,272.4,3.42,0.1669179001212085,17.0,96.0,24.0,256.0,2.0,0.0005,0.01,4.114558696746826,7.991672992706299,63.86684036254883,26.715579986572266,0.6459488868713379,2.002658605575561,2.5948517322540283,11.352002143859863,15.377902030944824,27.06201934814453,2.405263185501098,3.358960151672364,0.2370464354753494,0.6983129382133484,0.9857125282287598,1.8487924337387085,3.557436943054199,3.491227865219116,6.87649393081665,4.338161468505859,8.322888374328613,5.127469062805176,9.447504043579102,0.8731387478849407,0.5909591803240253,0.8766346688925988,0.7059927454028542,0.944532188313176,0.7320189441977194,0.1737490935460478,off,default,,
