model,dataset,ablation,seed,missing_rate,lambda_ent,norm_variant,width,loss,aug_block,bl_d_model,bl_d_ff,params,train_time_s,infer_time_s,best_val,epochs_run,seq_len,pred_len,d_model,n_layers,lr,MAE,RMSE,MSE,SMAPE,R2,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAPE_RH,MAE_P,RMSE_P,MAPE_P,MAE_WS,RMSE_WS,MAE_h1,RMSE_h1,MAE_h6,RMSE_h6,MAE_h12,RMSE_h12,MAE_h24,RMSE_h24,CLS_ACC,CLS_P,CLS_R,CLS_F1,CLS_AUC,CLS_AP,CLS_POSRATE
iTransformer,beijing_aotizhongxin,full,2,0.0,0.0,off,default,huber,0.5,,,1611032,177.5,1.85,0.1827050463478228,14,96,24,256,2,0.0005,4.374021530151367,8.467039108276367,71.69075775146484,27.87088966369629,0.6195868849754333,2.33546781539917,3.031412601470948,11.77162742614746,16.195384979248047,27.96685791015625,2.6861886978149414,3.7803597450256334,0.2644354701042175,0.7028051018714905,0.9960188269615172,1.89889657497406,3.5294644832611084,3.726087808609009,7.183270454406738,4.673247337341309,8.870589256286621,5.336033821105957,9.889793395996094,0.7140802513898961,0.3779875371388005,1.0,0.5486080635005438,0.9716404709784626,0.8543763526413011,0.1737490935460478
iTransformer,beijing_aotizhongxin,full,4,0.0,0.0,off,default,huber,0.5,,,1611032,128.5,1.77,0.1813147245852124,10,96,24,256,2,0.0005,4.255502700805664,8.319968223571777,69.22187805175781,27.25612449645996,0.6194320917129517,2.021501064300537,2.6688992977142334,11.565230369567873,15.946943283081056,28.0672664642334,2.712003231048584,3.799563646316528,0.2670831084251404,0.7232778072357178,1.0113378763198853,1.858518123626709,3.602285385131836,3.705254554748535,7.217811584472656,4.530257701873779,8.64078140258789,5.215413093566895,9.864577293395996,0.7048344210780759,0.3705345636373009,1.0,0.5407153872193177,0.973960365026704,0.8727107943819673,0.1737490935460478
PatchTST,jena,full,1,0.0,0.0,off,default,huber,0.5,,,1657880,1371.5,10.06,0.1623378200944252,20,96,24,256,2,0.0005,3.312558889389038,5.553181171417236,30.83782196044922,23.10514259338379,0.6390789747238159,2.304609537124634,2.973604679107666,7.721983909606934,10.08737087249756,11.444982528686523,2.316126585006714,3.3305649757385254,0.2338875085115432,0.9075182676315308,1.288894772529602,1.3893437385559082,2.346768856048584,2.822468042373657,4.928827285766602,3.5214264392852783,5.835920333862305,4.126992225646973,6.441514492034912,0.6834795321637427,0.1855980879688523,0.9991698833686132,0.3130469837058999,0.9702047989994296,0.7146698630504128,0.0721796807592752
PatchTST,jena,full,3,0.0,0.0,off,default,huber,0.5,,,1657880,1376.2,9.93,0.1610185283890279,20,96,24,256,2,0.0005,3.282186985015869,5.561450481414795,30.92972946166992,22.92319869995117,0.6393672823905945,2.2673938274383545,2.958008050918579,7.612446308135986,10.085004806518556,11.100589752197266,2.3517277240753174,3.408285140991211,0.2375613451004028,0.8971779346466064,1.2827526330947876,1.2320858240127563,2.090223550796509,2.749272108078003,4.852850437164307,3.492154598236084,5.8637776374816895,4.163790225982666,6.486515522003174,0.6761665947656025,0.1821841515830256,0.9992944008633212,0.308182661845179,0.9697112901201356,0.7075162309604218,0.0721796807592752
Autoformer,jena,full,0,0.0,0.0,on,default,huber,0.5,,,2677305,1526.7,14.21,0.1981587840502777,16,96,24,256,2,0.0005,3.793984651565552,6.0794219970703125,36.95936965942383,25.199419021606445,0.5732779502868652,2.8902149200439453,3.666692018508911,8.161218643188477,10.654733657836914,11.772216796875,3.186331272125244,4.375121116638184,0.3218834102153778,0.9381743669509888,1.3144580125808716,2.7956864833831787,4.331087112426758,3.3828680515289307,5.489068031311035,3.818262100219727,6.165999889373779,4.553295135498047,7.075913429260254,0.7346611063177069,0.2133399727900835,0.9958079110114972,0.3513972699045052,0.9640298239530286,0.6670139472092357,0.0721796807592752
Autoformer,jena,full,1,0.0,0.0,on,default,huber,0.5,,,2677305,1044.3,12.53,0.2061538736595482,11,96,24,256,2,0.0005,3.905186891555786,6.227251529693604,38.77865982055664,25.255733489990234,0.5461539030075073,2.729079484939575,3.494488000869751,8.364212989807129,10.765230178833008,12.109904289245604,3.566259384155273,5.022097587585449,0.3600393235683441,0.961197018623352,1.3384857177734375,2.918825387954712,4.627979278564453,3.5210509300231934,5.683850288391113,3.9263741970062256,6.295192241668701,4.641682624816895,7.165553092956543,0.703551912568306,0.1956134572690234,0.998381272568796,0.3271317829457364,0.9612457014818152,0.6157390832812699,0.0721796807592752
Autoformer,jena,full,3,0.0,0.0,on,default,huber,0.5,,,2677305,1442.1,14.17,0.1972827507469662,15,96,24,256,2,0.0005,3.793014526367188,6.130433559417725,37.582218170166016,25.104591369628903,0.5680018067359924,2.59124493598938,3.3509058952331543,8.35204029083252,10.84254264831543,12.28673267364502,3.2680227756500244,4.443496227264404,0.3302502036094665,0.960750699043274,1.3397738933563232,2.689542531967163,4.289385795593262,3.359859228134156,5.515388011932373,3.8310937881469727,6.223830699920654,4.5745530128479,7.153880596160889,0.6907984613172274,0.1890729882256771,0.9984227784003652,0.3179376020195745,0.9622550375087168,0.6437152485568907,0.0721796807592752
TimesNet,jena,full,0,0.0,0.0,off,default,huber,0.5,,,1186507,979.0,7.91,0.1605097682946361,11,96,24,256,2,0.0005,3.321678876876831,5.538586139678955,30.675933837890625,22.81361961364746,0.6450372338294983,2.310784339904785,2.995968103408813,7.530519962310791,9.971027374267578,10.85056209564209,2.564642906188965,3.56862211227417,0.2589744627475738,0.8807686567306519,1.253566861152649,1.9507538080215447,3.2295937538146973,2.8442296981811523,4.88963794708252,3.4309234619140625,5.707230567932129,4.102205753326416,6.459315299987793,0.6967902166618732,0.192176273351429,0.999128377537044,0.3223504047458035,0.9754165976918132,0.7499232488144413,0.0721796807592752
TimesNet,jena,full,2,0.0,0.0,off,default,huber,0.5,,,1186507,1716.5,17.51,0.1579108327242384,13,96,24,256,2,0.0005,3.314812183380127,5.459352493286133,29.804527282714844,22.79460334777832,0.6515400409698486,2.4208524227142334,3.0875673294067383,7.467482089996338,9.785601615905762,10.980198860168455,2.496480226516724,3.5198862552642822,0.2522101998329162,0.8744322061538696,1.2399410009384155,1.877439260482788,3.091306447982788,2.8146371841430664,4.782023906707764,3.4342598915100098,5.628572940826416,4.132572174072266,6.437428951263428,0.714462899050906,0.2014688251913581,0.9974266384427012,0.3352258460508328,0.9742626641013684,0.7657910806030707,0.0721796807592752
TimesNet,jena,full,4,0.0,0.0,off,default,huber,0.5,,,1186507,1767.4,18.59,0.1589844837086511,13,96,24,256,2,0.0005,3.316135883331299,5.51375150680542,30.401456832885746,22.753995895385746,0.6487427353858948,2.3713841438293457,3.029686212539673,7.57725715637207,9.942200660705566,11.28888702392578,2.440342664718628,3.4669151306152344,0.2465344220399856,0.8755603432655334,1.2489969730377195,1.8475552797317505,3.036184549331665,2.8077211380004883,4.813495635986328,3.432555913925171,5.683712005615234,4.143189430236816,6.4773945808410645,0.7079109145815358,0.1979905534618106,0.9986718133897812,0.3304651178761013,0.976151011979898,0.766781528087066,0.0721796807592752
TFT,jena,full,1,0.0,0.0,off,default,huber,0.5,,,3640676,1022.8,13.22,0.1676455959029161,9,96,24,256,2,0.0005,3.4180774688720703,5.5732102394104,31.0606746673584,23.855588912963867,0.6277363896369934,2.6237785816192627,3.329833030700684,7.540348529815674,9.89696979522705,10.996947288513184,2.6227829456329346,3.6833574771881104,0.2651183307170868,0.8854007720947266,1.27975594997406,1.9281343221664429,3.0874054431915283,2.8808913230896,4.825658798217773,3.557789802551269,5.739497661590576,4.220091819763184,6.5343403816223145,0.7186810948135366,0.2037598132824103,0.9964720043166064,0.3383362223255682,0.9662697238755812,0.6848515883834883,0.0721796807592752
