model,dataset,ablation,seed,AUC,AP,F1,Precision,Recall,TN,FP,FN,TP,pos_rate
XAI-MeteoFormer,jena,full,4,0.9717204651881889,0.7383168102158424,0.6783384671136076,0.7465476843312229,0.621549827750799,304615,5084,9118,14975,0.07217968075927524
XAI-MeteoFormer,jena,no_cls,0,0.9702789275550089,0.7295052447061564,0.6740977103186581,0.7013773610301045,0.6488606649234218,303043,6656,8460,15633,0.07217968075927524
XAI-MeteoFormer,jena,no_cls,1,0.9711920967256062,0.7251551873175143,0.6810284642850019,0.655568356374808,0.7085460507201262,300730,8969,7022,17071,0.07217968075927524
XAI-MeteoFormer,jena,no_cls,2,0.9703776324803355,0.7226432926222598,0.6749517528046995,0.6900693842150911,0.6604822977628356,302552,7147,8180,15913,0.07217968075927524
XAI-MeteoFormer,jena,no_entropy,0,0.971192365770572,0.7325654402445018,0.6922600089776201,0.7136624063464081,0.6721039306022496,303202,6497,7900,16193,0.07217968075927524
XAI-MeteoFormer,jena,no_entropy,1,0.9701701873529712,0.7298533870186847,0.673473869126043,0.7150184174942883,0.6364919271157597,303587,6112,8758,15335,0.07217968075927524
XAI-MeteoFormer,jena,no_entropy,2,0.9719342017461268,0.7513478397793574,0.696593483185224,0.7328933498327146,0.6637197526252439,303871,5828,8102,15991,0.07217968075927524
XAI-MeteoFormer,jena,no_fusion,0,0.9678019945948948,0.7019642252994349,0.6521056644391622,0.7092336959172724,0.6034947910181381,303738,5961,9553,14540,0.07217968075927524
XAI-MeteoFormer,jena,no_fusion,1,0.9691608726352353,0.7073631324428395,0.6644671314741036,0.6643844142910494,0.6645498692566305,301611,8088,8082,16011,0.07217968075927524
XAI-MeteoFormer,jena,no_fusion,2,0.9685926229304112,0.7148169810689308,0.6666240245618523,0.6853873470998291,0.6488606649234218,302523,7176,8460,15633,0.07217968075927524
XAI-MeteoFormer,jena,no_multiscale,0,0.9721135922180543,0.7420597137219964,0.6685667562200678,0.7646964514749893,0.5939069439256216,305296,4403,9784,14309,0.07217968075927524
XAI-MeteoFormer,jena,no_multiscale,1,0.9710466944395237,0.7270801314295021,0.6729804258396999,0.7388456002779294,0.6178973145726975,304437,5262,9206,14887,0.07217968075927524
XAI-MeteoFormer,jena,no_multiscale,2,0.9734493210666504,0.7502411722480165,0.7063124543017304,0.6915642524758382,0.7217033993276055,301944,7755,6705,17388,0.07217968075927524
XAI-MeteoFormer,jena,no_revin,0,0.9762452238878,0.7645891351234937,0.7097046591652769,0.7221601649768001,0.6976715228489603,303232,6467,7284,16809,0.07217968075927524
XAI-MeteoFormer,jena,no_revin,1,0.976408797732214,0.7591074315841735,0.7089752706012483,0.676351987940456,0.7449051591748641,301111,8588,6146,17947,0.07217968075927524
XAI-MeteoFormer,jena,no_revin,2,0.9741123888514218,0.7687230589943259,0.7021238903214377,0.667727442905279,0.7402565060390985,300824,8875,6258,17835,0.07217968075927524
XAI-MeteoFormer,jena,no_revin,3,0.9738611856879297,0.7472388961237326,0.6918504527526248,0.6245737211634905,0.7753704395467563,298470,11229,5412,18681,0.07217968075927524
XAI-MeteoFormer,jena,no_revin,4,0.9727701393982089,0.7466556248754268,0.6928021555042341,0.6458894032368034,0.7470634624164695,299831,9868,6094,17999,0.07217968075927524
XAI-MeteoFormer,jena,no_temp_attn,0,0.971241439706361,0.7353992176506592,0.6918570591681312,0.697548833480994,0.686257419167393,302530,7169,7559,16534,0.07217968075927524
XAI-MeteoFormer,jena,no_temp_attn,1,0.9714360345358513,0.7383193098881515,0.679813785076943,0.7070611970410222,0.6545884696799901,303165,6534,8322,15771,0.07217968075927524
XAI-MeteoFormer,jena,no_temp_attn,2,0.9718691635598952,0.7414304086713207,0.69503206870312,0.7297963656287098,0.6634292118042585,303781,5918,8109,15984,0.07217968075927524
XAI-MeteoFormer,jena,no_var_attn,0,0.9706132000102,0.7394081765448522,0.7009956504710272,0.6963305758047342,0.7057236541734113,302284,7415,7090,17003,0.07217968075927524
XAI-MeteoFormer,jena,no_var_attn,1,0.9683709704865919,0.7216738819062267,0.6637558476275339,0.7163533201904121,0.6183538787199602,303800,5899,9195,14898,0.07217968075927524
XAI-MeteoFormer,jena,no_var_attn,2,0.9707365284802819,0.7335057034601566,0.6840458361207622,0.7124426863256316,0.6578259245423982,303302,6397,8244,15849,0.07217968075927524
iTransformer,jena,full,0,0.968595115499675,0.6999932777134492,0.649661588659362,0.6928430358318443,0.6115469223425891,303167,6532,9359,14734,0.07217968075927524
iTransformer,jena,full,1,0.9699948211638391,0.7104087869379536,0.6368283487151019,0.7192267502612331,0.5713692773834724,304325,5374,10327,13766,0.07217968075927524
iTransformer,jena,full,2,0.9689738624614235,0.7093374364604446,0.6454521229348019,0.6940637088686183,0.6032042501971527,303293,6406,9560,14533,0.07217968075927524
iTransformer,jena,full,3,0.9687423816006216,0.7045194254947231,0.6314921304039038,0.704745346696666,0.5720333706885817,303925,5774,10311,13782,0.07217968075927524
iTransformer,jena,full,4,0.9697058262624956,0.713511619725959,0.6352941176470588,0.7168266221573127,0.5704146432573777,304270,5429,10350,13743,0.07217968075927524
