model,dataset,ablation,seed,AUC,AP,F1,Precision,Recall,TN,FP,FN,TP,pos_rate
Transformer,beijing_aotizhongxin,full,1,0.9707995414674361,0.8591969864573477,0.7949513954217623,0.7237352974763047,0.8817125765164162,127051,9677,3401,25351,0.17374909354604787
Transformer,beijing_aotizhongxin,full,2,0.9696428943869956,0.8575553518452891,0.7915460900666559,0.7431467122534954,0.8466889259877574,128314,8414,4408,24344,0.17374909354604787
Transformer,beijing_aotizhongxin,full,3,0.970217559123961,0.8595261927371833,0.7895589014148445,0.6988187394530309,0.9073803561491375,125484,11244,2663,26089,0.17374909354604787
Transformer,beijing_aotizhongxin,full,4,0.9692983142819052,0.8542351187421892,0.787670550741958,0.7533815964945704,0.8252295492487479,128961,7767,5025,23727,0.17374909354604787
XAI-MeteoFormer,beijing_aotizhongxin,full,0,0.9747795982554204,0.8776508495695788,0.7986281234688878,0.8036343146922101,0.7936839176405119,131152,5576,5932,22820,0.17374909354604787
XAI-MeteoFormer,beijing_aotizhongxin,full,1,0.973640416310216,0.8642593280712706,0.8045567078132304,0.8009927953393774,0.8081524763494713,130955,5773,5516,23236,0.17374909354604787
XAI-MeteoFormer,beijing_aotizhongxin,full,2,0.9725032501599429,0.8649302267667615,0.7834712535684603,0.8152590809957133,0.7540692821368948,131815,4913,7071,21681,0.17374909354604787
XAI-MeteoFormer,beijing_aotizhongxin,full,3,0.9726519576757311,0.8621794901696314,0.7899440942919204,0.8092215656234041,0.7715637173066221,131498,5230,6568,22184,0.17374909354604787
XAI-MeteoFormer,beijing_aotizhongxin,full,4,0.9714931981378477,0.8601193305788295,0.7999519032568366,0.7902864512625577,0.8098567056204786,130549,6179,5467,23285,0.17374909354604787
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,0,0.9728861711959178,0.8694568257458739,0.7977056613989374,0.7767051070840197,0.8198734001112966,129951,6777,5179,23573,0.17374909354604787
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,1,0.9703438188064109,0.8633974109780379,0.7657415154050417,0.8025543271063668,0.7321577629382304,131549,5179,7701,21051,0.17374909354604787
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,2,0.9735267539152265,0.8722083080391018,0.8026935167307601,0.7415750213757113,0.8747913188647746,127963,8765,3600,25152,0.17374909354604787
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,3,0.9724178113105525,0.8704687520914192,0.7850378621501485,0.7932185336410439,0.7770242070116862,130904,5824,6411,22341,0.17374909354604787
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,4,0.9755540443084105,0.8826161469048719,0.8139500710238868,0.7670718572088013,0.8669309961046188,129159,7569,3826,24926,0.17374909354604787
iTransformer,beijing_aotizhongxin,full,0,0.973312649377158,0.8708466695542915,0.7560064068339563,0.8367381394563566,0.6894824707846411,132860,3868,8928,19824,0.17374909354604787
iTransformer,beijing_aotizhongxin,full,1,0.972975911018328,0.8679664295862388,0.7657555906934719,0.8345642540620384,0.7074290484140233,132696,4032,8412,20340,0.17374909354604787
iTransformer,beijing_aotizhongxin,full,2,0.9730803248459496,0.8694207119544716,0.7611076551867142,0.8308844713339095,0.7021424596549806,132619,4109,8564,20188,0.17374909354604787
iTransformer,beijing_aotizhongxin,full,3,0.9734890024984756,0.8718954760261444,0.7690143486823595,0.8345886088832797,0.7129938786867001,132665,4063,8252,20500,0.17374909354604787
iTransformer,beijing_aotizhongxin,full,4,0.9733273624289367,0.8709576942799707,0.7563461465053251,0.8380847644023348,0.6891346688925988,132900,3828,8938,19814,0.17374909354604787
