model,dataset,ablation,seed,missing_rate,params,train_time_s,infer_time_s,best_val,epochs_run,seq_len,pred_len,d_model,n_layers,lr,lambda_ent,MAE,RMSE,MSE,SMAPE,R2,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAPE_RH,MAE_P,RMSE_P,MAPE_P,MAE_WS,RMSE_WS,MAE_h1,RMSE_h1,MAE_h6,RMSE_h6,MAE_h12,RMSE_h12,MAE_h24,RMSE_h24,CLS_ACC,CLS_P,CLS_R,CLS_F1,CLS_AUC,CLS_AP,CLS_POSRATE
LSTM,beijing_aotizhongxin,full,4,0.0,833668.0,36.4,1.76,0.1804478237427967,10.0,96,24,256,2,0.0005,0.0,4.3704938888549805,8.094658851623535,65.52349853515625,27.57486343383789,0.6358985304832458,2.58248233795166,3.372354507446289,11.56544017791748,15.38280200958252,26.73988914489746,2.641308546066284,3.623005151748657,0.260281890630722,0.6927464008331299,0.98208349943161,2.7913475036621094,4.899684429168701,3.805314064025879,7.029684066772461,4.534292221069336,8.34177017211914,5.3196563720703125,9.554449081420898,0.711022480058013,0.3754897351512302,1.0,0.5459724279366526,0.970448826090979,0.8516373879412477,0.1737490935460478
Transformer,beijing_aotizhongxin,full,0,0.0,2668306.0,106.2,2.86,0.2096721477386414,9.0,96,24,256,2,0.0005,0.0,5.042295455932617,9.11141872406006,83.01795196533203,30.39637565612793,0.5876012444496155,3.622735261917114,4.587864875793457,12.839415550231934,17.16180419921875,33.005516052246094,3.014014482498169,3.940027475357056,0.2970828711986542,0.6930153965950012,0.9858794212341307,3.661380052566528,5.887438774108887,4.690952777862549,8.33970832824707,5.153647422790527,9.336087226867676,5.70375394821167,10.227805137634276,0.7519881556683587,0.4119610849225567,1.0,0.5835303668374854,0.9680835346213128,0.8492960359217067,0.1737490935460478
Transformer,beijing_aotizhongxin,full,1,0.0,2668306.0,106.5,2.9,0.2192770572522765,9.0,96,24,256,2,0.0005,0.0,4.984521865844727,8.919272422790527,79.55341339111328,30.218461990356445,0.5959555506706238,3.4548895359039307,4.530772686004639,12.643738746643066,16.73833465576172,31.721132278442383,3.1490743160247803,4.069041728973389,0.3105729222297668,0.6903838515281677,0.9781660437583924,3.47567081451416,5.564034938812256,4.612366676330566,8.127923011779785,5.125601291656494,9.110844612121582,5.733753681182861,10.150230407714844,0.7446458786560309,0.4049121225777377,1.0,0.5764234161988773,0.9707995405771236,0.8591969329404252,0.1737490935460478
Transformer,beijing_aotizhongxin,full,2,0.0,2668306.0,106.1,2.82,0.2058455895446626,9.0,96,24,256,2,0.0005,0.0,4.983187675476074,8.93407917022705,79.81776428222656,29.860916137695312,0.6006261706352234,3.5712544918060303,4.510886669158936,12.638748168945312,16.792306900024414,32.025299072265625,3.0398197174072266,4.000339984893799,0.299813836812973,0.6829332113265991,0.9688649773597716,3.5820329189300537,5.801886081695557,4.543458938598633,8.115842819213867,5.118951797485352,9.19646453857422,5.791717052459717,10.18202304840088,0.7451172347111433,0.4053573946144085,1.0,0.5768744607852972,0.9696428941326204,0.8575552781627837,0.1737490935460478
Transformer,beijing_aotizhongxin,full,3,0.0,2668306.0,105.7,2.88,0.2128408894026423,9.0,96,24,256,2,0.0005,0.0,4.931717872619629,9.113929748535156,83.06371307373047,30.114376068115234,0.593799889087677,3.3585686683654785,4.456060409545898,12.744933128356934,17.215686798095703,33.20911407470703,2.9331746101379395,3.8813765048980713,0.2892378568649292,0.6901940107345581,0.9764516949653624,3.5475969314575195,5.964964866638184,4.569769382476807,8.436225891113281,5.064673900604248,9.34842586517334,5.689625263214111,10.345429420471191,0.7309523809523809,0.3923902066217212,1.0,0.5636210377746849,0.9702175575977108,0.8595261633122703,0.1737490935460478
Transformer,beijing_aotizhongxin,full,4,0.0,2668306.0,106.2,2.89,0.2062199400445863,9.0,96,24,256,2,0.0005,0.0,4.927658081054688,8.700777053833008,75.7035140991211,29.9523868560791,0.6051919460296631,3.46378755569458,4.357329368591309,12.40922737121582,16.32090187072754,30.98004722595215,3.1384599208831787,4.062166213989258,0.3095744252204895,0.6991607546806335,0.9770745038986206,3.5260183811187744,5.634626865386963,4.487507343292236,7.811266422271728,5.044110298156738,8.853025436401367,5.733238697052002,9.92458438873291,0.7471295624848925,0.4072694307123532,1.0,0.5788080403426306,0.9692983133915928,0.8542350118390778,0.1737490935460478
Informer,beijing_aotizhongxin,full,0,0.0,2865682.0,162.2,3.1,0.2112551278681891,13.0,96,24,256,2,0.0005,0.0,4.875434875488281,8.885629653930664,78.95441436767578,29.956335067749023,0.597487211227417,3.691837310791016,4.600454807281494,12.25987720489502,16.70859146118164,29.83353805541992,2.845065116882324,3.809140682220459,0.2805041074752807,0.704961895942688,0.983271300792694,3.2012417316436768,5.164622783660889,4.244917392730713,7.620131015777588,4.975607872009277,9.15720272064209,5.751694679260254,10.246512413024902,0.7489787285472564,0.4090424094123003,1.0,0.5805963066546853,0.9721260748199748,0.8735205318261798,0.1737490935460478
Informer,beijing_aotizhongxin,full,1,0.0,2865682.0,162.5,3.18,0.2017047292571311,13.0,96,24,256,2,0.0005,0.0,4.816354751586914,8.993724822998047,80.88709259033203,30.21759033203125,0.5932927131652832,3.5550999641418457,4.609973907470703,12.494036674499512,17.0145206451416,29.62505531311035,2.513157606124878,3.436874866485596,0.2475182265043258,0.703123927116394,0.9952190518379213,3.028932809829712,5.169315338134766,4.148788928985596,7.660967826843262,5.078889846801758,9.388080596923828,5.754467487335205,10.585811614990234,0.7426516799613246,0.4030281788868639,0.9998608792431832,0.5744889190863492,0.9736379716389828,0.8777711983590044,0.1737490935460478
Informer,beijing_aotizhongxin,full,2,0.0,2865682.0,137.3,3.17,0.1958799343088717,11.0,96,24,256,2,0.0005,0.0,4.985663890838623,9.204036712646484,84.71429443359375,29.84859275817871,0.5894576907157898,3.431375503540039,4.381766319274902,12.874529838562012,17.43360137939453,31.187456130981445,2.9394705295562744,3.8420019149780273,0.2896281480789184,0.6972785592079163,0.9827663898468018,3.697719812393189,6.298135757446289,4.434875965118408,8.28879165649414,4.882400035858154,9.050551414489746,5.637345314025879,10.378896713256836,0.7526528885665942,0.4125963456818475,0.9997913188647746,0.5841317578208346,0.970550744753924,0.8627544238512925,0.1737490935460478
Informer,beijing_aotizhongxin,full,3,0.0,2865682.0,149.4,3.13,0.1981125247137082,12.0,96,24,256,2,0.0005,0.0,4.935202121734619,8.877753257751465,78.81450653076172,30.14604949951172,0.597400963306427,3.96366810798645,4.969320774078369,12.186773300170898,16.582544326782227,30.13979148864746,2.911890983581543,3.825571060180664,0.2871006727218628,0.6784791946411133,0.9736867547035216,3.1829872131347656,5.08975887298584,4.26209020614624,7.558279991149902,5.083664417266846,9.332603454589844,5.775958061218262,10.103065490722656,0.7551486584481508,0.4150714595062797,1.0,0.5866438146538532,0.9722241432624544,0.8681624940495665,0.1737490935460478
Informer,beijing_aotizhongxin,full,4,0.0,2865682.0,138.1,3.13,0.201771259919394,11.0,96,24,256,2,0.0005,0.0,5.047341346740723,8.864219665527344,78.57438659667969,30.14993667602539,0.5944509506225586,4.105405330657959,5.070348262786865,12.275450706481934,16.47829818725586,29.768430709838867,3.1215829849243164,4.013506412506104,0.3078536987304687,0.686926543712616,0.972924530506134,3.82269287109375,6.132339000701904,4.376071929931641,7.763879299163818,5.141556739807129,8.93187427520752,5.703134059906006,9.950919151306152,0.766467246797196,0.4265999910967339,0.9998956594323872,0.59804665966321,0.9711120681564642,0.8615065702471724,0.1737490935460478
Autoformer,beijing_aotizhongxin,full,0,0.0,2674706.0,333.3,6.22,0.2385025180068943,9.0,96,24,256,2,0.0005,0.0,5.452760696411133,9.627448081970217,92.68775177001952,30.45779228210449,0.5304489135742188,3.002226591110229,3.8653645515441895,14.060989379882812,18.092199325561523,34.22063446044922,4.001982688903809,5.233118057250977,0.3944957256317138,0.7458440065383911,1.047229528427124,4.593961238861084,8.069554328918457,5.016043186187744,8.8140230178833,5.512857913970947,9.708563804626465,6.1554951667785645,10.736601829528809,0.7118987188784143,0.3761988877984952,0.9999652198107958,0.5467164874449737,0.960786498148622,0.8224392121712524,0.1737490935460478
Autoformer,beijing_aotizhongxin,full,1,0.0,2674706.0,332.5,6.23,0.241517039880944,9.0,96,24,256,2,0.0005,0.0,5.516001224517822,9.701128005981444,94.11188507080078,30.632230758666992,0.5323004722595215,3.2445759773254395,4.122345924377441,14.079923629760742,18.19021797180176,34.33137512207031,4.005862236022949,5.244527339935303,0.3948659300804138,0.7336421608924866,1.0318317413330078,4.709624290466309,8.138202667236328,5.038164138793945,8.865920066833496,5.586299419403076,9.83216667175293,6.311830997467041,10.892316818237305,0.7191745226009185,0.3821702642673795,0.9994087367835282,0.5529098238423721,0.9607349440883276,0.8067257233270655,0.1737490935460478
Autoformer,beijing_aotizhongxin,full,2,0.0,2674706.0,369.8,6.24,0.2478733847881792,10.0,96,24,256,2,0.0005,0.0,5.42678165435791,9.517293930053713,90.57888793945312,31.009531021118164,0.5376580953598022,3.357750177383423,4.335646629333496,13.708306312561035,17.777721405029297,33.8598747253418,3.913257598876953,5.138386249542236,0.3859141767024994,0.7278093695640564,1.0330945253372192,4.525747299194336,7.764599800109863,4.888857364654541,8.54403305053711,5.475397109985352,9.518129348754885,6.177883625030518,11.019729614257812,0.7274595117234711,0.3893041900273557,0.9998260990539788,0.5604031424839659,0.9608742603323556,0.8173308654501922,0.1737490935460478
Autoformer,beijing_aotizhongxin,full,3,0.0,2674706.0,369.6,6.29,0.2408816276537763,10.0,96,24,256,2,0.0005,0.0,5.438650608062744,9.505053520202637,90.3460464477539,30.460102081298828,0.5497769117355347,3.219785213470459,4.128724098205566,13.895408630371094,17.803922653198242,34.42372131347656,3.9223830699920654,5.131655693054199,0.3865940570831299,0.7170242667198181,1.01204252243042,4.711918830871582,8.022196769714355,5.025729656219482,8.712520599365234,5.471491813659668,9.520118713378906,6.2380805015563965,10.99818992614746,0.7302695189751027,0.39162356537522,0.9980870895937674,0.5625263405502358,0.9624910541643564,0.820685400581533,0.1737490935460478
Autoformer,beijing_aotizhongxin,full,4,0.0,2674706.0,369.7,6.24,0.243344669369142,10.0,96,24,256,2,0.0005,0.0,5.471961975097656,9.401843070983888,88.3946533203125,31.14867210388184,0.5470461845397949,3.578620433807373,4.523061275482178,13.623013496398926,17.4779052734375,33.007606506347656,3.946800708770752,5.158663272857666,0.3890662789344787,0.7394146919250488,1.0156368017196655,4.482053756713867,7.522937774658203,4.985705852508545,8.488088607788086,5.511658191680908,9.416515350341797,6.176746845245361,10.849366188049316,0.7369108049311095,0.3977395346263453,0.9999652198107958,0.5691126110968151,0.9608597132602849,0.8178285877137049,0.1737490935460478
TFT,beijing_aotizhongxin,full,0,0.0,0.0,3540960.0,432.1,6.24,0.1857336743157065,10,96,24,256,2.0,0.0005,4.453016757965088,8.19558048248291,67.16753387451172,28.07154655456543,0.6350737810134888,2.8358137607574463,3.666679859161377,11.776448249816896,15.566656112670898,27.114940643310547,2.4945273399353027,3.457182168960572,0.2457711398601532,0.7052813172340393,0.9760279655456544,3.004060745239258,5.353914737701416,3.810685157775879,7.030818462371826,4.543992042541504,8.368648529052734,5.39143705368042,9.601068496704102,0.7269216823785352,0.3888505700490932,1.0,0.5599602699307645,0.9701049904144164,0.8597637302811351,0.1737490935460478
